actor,tipo,modo,justificacion,frase_idx,recorte_id,codigo
oficiales de las tres fuerzas militares,colectivo,explícito,explicitly mentioned in the phrase as the audience of the speech,0,DISCURSO_048_FR_001,DISCURSO_048
Nahuel Gallo,humano_individual,explícito,explicit mention in the target phrase,1,DISCURSO_048_FR_002,DISCURSO_048
fuerzas de seguridad,colectivo,inferido,inferred from contextual phrase indicating they were the kidnappers,1,DISCURSO_048_FR_002,DISCURSO_048
las fuerzas de seguridad,institucional,explícito,Mencionado directamente como agente que detuvo al sujeto.,2,DISCURSO_048_FR_003,DISCURSO_048
el dictador criminal Nicolás Maduro,humano_individual,explícito,Mencionado como responsable de la autoridad de las fuerzas de seguridad.,2,DISCURSO_048_FR_003,DISCURSO_048
el detenido,humano_individual,inferido,"El sujeto de la pasiva 'fue detenido' no se nombra, pero se infiere que existe un individuo detenido.",2,DISCURSO_048_FR_003,DISCURSO_048
su pareja,humano_individual,explícito,Mencionado como objeto del delito de visita.,2,DISCURSO_048_FR_003,DISCURSO_048
su hijo,humano_individual,explícito,Mencionado como objeto del delito de visita.,2,DISCURSO_048_FR_003,DISCURSO_048
Nahuel Gallo,humano_individual,inferido,"El pronombre 'su' en 'su liberación' se refiere a Nahuel Gallo, mencionado en el contexto como secuestrado.",3,DISCURSO_048_FR_004,DISCURSO_048
Luis Petri,humano_individual,explícito,nombre propio mencionado directamente en la frase,4,DISCURSO_048_FR_005,DISCURSO_048
Señores jefes del estado mayor conjunto,colectivo,explícito,grupo de individuos referido explícitamente en la frase,4,DISCURSO_048_FR_005,DISCURSO_048
Estados mayores generales de las fuerzas armadas,colectivo,explícito,grupo de individuos referido explícitamente en la frase,4,DISCURSO_048_FR_005,DISCURSO_048
Integrantes del poder ejecutivo nacional presentes,colectivo,explícito,grupo de individuos referido explícitamente en la frase,4,DISCURSO_048_FR_005,DISCURSO_048
"Nuevos egresados en nuestras tres fuerzas: subtenientes, guardiamarinas y alféreces",colectivo,explícito,grupo de individuos referido explícitamente en la frase,4,DISCURSO_048_FR_005,DISCURSO_048
los nuevos egresados,colectivo,inferido,"El pronombre 'acompánalos' hace referencia a los graduados a los que se dirige el discurso, identificados previamente como 'los nuevos egresados'.",5,DISCURSO_048_FR_006,DISCURSO_048
los asistentes que acompañan a los graduados,colectivo,inferido,"La expresión 'todos aquellos que han venido a acompañarlos' indica un grupo de personas que han venido a acompañar a los graduados, por lo que se infiere la existencia de este colectivo.",5,DISCURSO_048_FR_006,DISCURSO_048
graduados,colectivo,explícito,El sustantivo 'graduados' aparece directamente en la frase como destinatario de la dirección.,7,DISCURSO_048_FR_008,DISCURSO_048
graduados,colectivo,inferido,El pronombre 'ustedes' en la frase se refiere a los graduados que han finalizado la formación básica y eligieron el servicio a la patria.,8,DISCURSO_048_FR_009,DISCURSO_048
graduados,colectivo,inferido,"La frase ""hoy culmina su vida de estudiantes y, en simultáneo, inicia su vida profesional"" se refiere a los graduados del Colegio Militar, quienes están pasando de su etapa estudiantil a la profesional. El pronombre de objeto indirecto ""les"" en ""se les exigirá"" también apunta a este mismo grupo, por lo que el actor representado es el colectivo de graduados.",9,DISCURSO_048_FR_010,DISCURSO_048
graduados,colectivo,inferido,"El pronombre posesivo ""su"" y el pronombre de objeto directo ""los"" en la frase hacen referencia a los nuevos oficiales que completaron la formación básica; por tanto, el actor implícito es el colectivo de graduados.",10,DISCURSO_048_FR_011,DISCURSO_048
nuevos oficiales,colectivo,inferido,"El pronombre indirecto ""les"" hace referencia a los nuevos oficiales que recibirán los sables.",11,DISCURSO_048_FR_012,DISCURSO_048
héroes emancipadores,colectivo,explícito,"El sustantivo ""héroes emancipadores"" aparece explícitamente en la frase como parte de la expresión ""nuestros héroes emancipadores"".",11,DISCURSO_048_FR_012,DISCURSO_048
los nuevos oficiales,colectivo,explícito,"El pronombre ""los"" en ""los acompañará"" se refiere a los nuevos oficiales que están recibiendo los sables.",12,DISCURSO_048_FR_013,DISCURSO_048
el mando,institucional,inferido,"La frase ""el símbolo del mando"" indica que el símbolo representa la autoridad militar; por el contexto del discurso militar, se infiere que ""el mando"" corresponde a la institución de las Fuerzas Armadas.",12,DISCURSO_048_FR_013,DISCURSO_048
nuevos oficiales,colectivo,inferido,Pronombres 'les' y 'los' se refieren a los nuevos oficiales a quienes se les tomará juramento.,13,DISCURSO_048_FR_014,DISCURSO_048
la nación,colectivo,inferido,El sustantivo 'nación' aparece como destinatario del servicio mencionado en la frase.,13,DISCURSO_048_FR_014,DISCURSO_048
nuevos oficiales,colectivo,inferido,"El imperativo 'recuerden' y 'graben' se dirige a los graduados de la formación básica, identificados en el contexto como 'nuevos oficiales' de las tres fuerzas.",14,DISCURSO_048_FR_015,DISCURSO_048
ustedes,colectivo,explícito,Pronombre de segunda persona plural que se refiere a los graduados a quienes se dirige el discurso.,16,DISCURSO_048_FR_017,DISCURSO_048
todos los argentinos de bien,colectivo,explícito,Frase explícita que designa a un grupo de ciudadanos argentinos.,16,DISCURSO_048_FR_017,DISCURSO_048
graduados,colectivo,inferido,"Sujeto tácito de la construcción ""se atienen"" se infiere que son los graduados a quienes se dirige el discurso.",16,DISCURSO_048_FR_017,DISCURSO_048
el país,institucional,explícito,"La frase menciona explícitamente ""como país"", indicando que el país es el actor que atraviesa el momento histórico.",17,DISCURSO_048_FR_018,DISCURSO_048
la casta política,colectivo,explícito,referido directamente en la frase,18,DISCURSO_048_FR_019,DISCURSO_048
todos los argentinos,colectivo,explícito,referido directamente en la frase,18,DISCURSO_048_FR_019,DISCURSO_048
nosotros,colectivo,inferido,deducido del verbo 'hemos' que indica acción del sujeto implícito,18,DISCURSO_048_FR_019,DISCURSO_048
la casta,colectivo,explícito,"El término ""la casta"" se menciona explícitamente en la frase y se refiere a un grupo de personas (el grupo político).",19,DISCURSO_048_FR_020,DISCURSO_048
la política,colectivo,explícito,"El término ""la política"" aparece explícitamente como parte de la relación que se fracturó, indicando al colectivo de políticos o al sistema político.",19,DISCURSO_048_FR_020,DISCURSO_048
fuerzas armadas,colectivo,explícito,"El término ""fuerzas armadas"" se menciona explícitamente en la frase, refiriéndose al colectivo militar argentino.",19,DISCURSO_048_FR_020,DISCURSO_048
la casta política,colectivo,inferido,"El pronombre ‘los mismos’ hace referencia a la ‘casta política’ mencionada en el contexto previo; por tanto, se infiere que el sujeto que se dedicó a desprestigiar y diferenciar a las fuerzas es la casta política.",20,DISCURSO_048_FR_021,DISCURSO_048
las fuerzas armadas,colectivo,explícito,"La frase menciona explícitamente ‘nuestras fuerzas’ y ‘nuestras capacidades militares’, identificando a las fuerzas armadas como el objeto de la acción de desprestigiar y diferenciar, y como la entidad que perdió años valiosos en su desarrollo.",20,DISCURSO_048_FR_021,DISCURSO_048
la sociedad,colectivo,explícito,"El sustantivo ""sociedad"" aparece explícitamente en la frase como sujeto del verbo ""tiene"".",21,DISCURSO_048_FR_022,DISCURSO_048
las fuerzas armadas argentinas,colectivo,explícito,"El sustantivo ""fuerzas armadas argentinas"" aparece explícitamente en la frase como objeto de la preposición ""por"".",21,DISCURSO_048_FR_022,DISCURSO_048
nuestras fuerzas,colectivo,explícito,"La frase menciona explícitamente ""nuestras fuerzas"".",22,DISCURSO_048_FR_023,DISCURSO_048
las fuerzas armadas,colectivo,explícito,mencionado explícitamente en la frase objetivo,23,DISCURSO_048_FR_024,DISCURSO_048
la política,colectivo,explícito,mencionado explícitamente en la frase objetivo,23,DISCURSO_048_FR_024,DISCURSO_048
nueva camada de egresados,colectivo,explícito,"Mencionado directamente en la frase como ""nueva camada de egresados"".",24,DISCURSO_048_FR_025,DISCURSO_048
camaradas de mayor experiencia y rango,colectivo,explícito,"Mencionado directamente en la frase como ""camaradas de mayor experiencia y rango"".",24,DISCURSO_048_FR_025,DISCURSO_048
gobierno,institucional,explícito,"Mencionado directamente en la frase como ""un gobierno"".",24,DISCURSO_048_FR_025,DISCURSO_048
las tres fuerzas,colectivo,explícito,"Mencionado directamente en la frase como ""las tres fuerzas"".",24,DISCURSO_048_FR_025,DISCURSO_048
Roca,humano_individual,explícito,"Mencionado directamente en la frase ""nos dejaron roca y san martín"".",24,DISCURSO_048_FR_025,DISCURSO_048
San Martín,humano_individual,explícito,"Mencionado directamente en la frase ""nos dejaron roca y san martín"".",24,DISCURSO_048_FR_025,DISCURSO_048
camaradas de armas,colectivo,explícito,"El texto menciona directamente a ""camaradas de armas"" y a ""ustedes"" como el grupo al que se dirige.",27,DISCURSO_048_FR_028,DISCURSO_048
tiranía rosista,institucional,explícito,"El término ""tiranía rosista"" se refiere al régimen político de Juan Manuel de Rosas, una entidad institucional.",27,DISCURSO_048_FR_028,DISCURSO_048
la nación,institucional,explícito,El sujeto de la oración 'la nación cuenta con ustedes' es 'la nación'.,29,DISCURSO_048_FR_030,DISCURSO_048
los oficiales que hoy egresan,colectivo,explícito,El pronombre 'ustedes' y la expresión 'estimados oficiales que hoy egresan' refieren a este grupo.,29,DISCURSO_048_FR_030,DISCURSO_048
nación,colectivo,explícito,"referido directamente en la frase ""la nación""",30,DISCURSO_048_FR_031,DISCURSO_048
nuevos oficiales,colectivo,inferido,"deducido del contexto previo que indica que ""ustedes"" se refiere a los oficiales egresados",30,DISCURSO_048_FR_031,DISCURSO_048
los hombres y mujeres de nuestras fuerzas armadas,colectivo,explícito,explicitly mentioned in the phrase,31,DISCURSO_048_FR_032,DISCURSO_048
nuestros nuevos oficiales,colectivo,explícito,explicitly mentioned in the phrase,31,DISCURSO_048_FR_032,DISCURSO_048
hombres y mujeres de nuestras fuerzas armadas,colectivo,inferido,El pronombre 'ellos' en la frase se refiere a los hombres y mujeres de nuestras fuerzas armadas mencionados en la frase anterior; la responsabilidad recae sobre ellos.,32,DISCURSO_048_FR_033,DISCURSO_048
nueva camada,colectivo,explícito,El sustantivo 'camada' aparece explícitamente en la frase como objeto de la acción de educar.,32,DISCURSO_048_FR_033,DISCURSO_048
los graduados,colectivo,explícito,"El sujeto de la oración ""los graduados"" aparece explícitamente en la frase objetivo.",33,DISCURSO_048_FR_034,DISCURSO_048
families of the officers,colectivo,explícito,explicitly mentioned as 'los familiares de nuestros oficiales',34,DISCURSO_048_FR_035,DISCURSO_048
military officers,colectivo,explícito,explicitly mentioned as 'nuestros oficiales',34,DISCURSO_048_FR_035,DISCURSO_048
Dios,humano_individual,explícito,"El término ""Dios"" aparece explícitamente como sujeto de la acción de bendición en la frase.",36,DISCURSO_048_FR_037,DISCURSO_048
las fuerzas del cielo,colectivo,explícito,"La expresión ""las fuerzas del cielo"" se menciona explícitamente como sujeto de la acción de acompañar en la frase.",36,DISCURSO_048_FR_037,DISCURSO_048
todos,colectivo,explícito,El pronombre 'todos' aparece directamente en la frase y se refiere al público presente al que se dirige el discurso.,37,DISCURSO_048_FR_038,DISCURSO_048
patria,colectivo,explícito,La palabra 'patria' se menciona en la exclamación '¡viva la patria!' y representa a la nación como entidad colectiva.,37,DISCURSO_048_FR_038,DISCURSO_048
los egresados,colectivo,inferido,"El pronombre indirecto ""les"" hace referencia a los nuevos egresados mencionados en el contexto previo.",25,DISCURSO_048_FR_026,DISCURSO_048
cada cual,colectivo,explícito,"El sujeto de la oración ""se desempeñe"" es la expresión ""cada cual"", que se refiere a cada individuo del grupo.",25,DISCURSO_048_FR_026,DISCURSO_048
ustedes,colectivo,explícito,Pronombre personal 'ustedes' que se refiere a los nuevos oficiales/gradados del Colegio Militar.,28,DISCURSO_048_FR_029,DISCURSO_048
