experienciador,tipo_emocion,modo_existencia,justificacion,recorte_id,codigo
Presidente Javier Milei,indignación,realizada,"El enunciador menciona el ""secuestro ilegal"" de Nahuel Gallo, calificándolo como una acción ilícita y, al decidir referirse a él antes de iniciar su discurso, expresa una reacción de indignación ante la injusticia señalada.",DISCURSO_048_FR_002,DISCURSO_048
Presidente Javier Milei,indignación,realizada,"El enunciador condena a Nicolás Maduro como ""dictador criminal"" y señala la injusticia de la detención por un delito trivial, lo que indica indignación hacia la situación.",DISCURSO_048_FR_003,DISCURSO_048
Presidente Javier Milei,contempto,realizada,"El calificativo ""dictador criminal"" y la referencia a la detención por un delito trivial reflejan un sentimiento de desprecio o contempto hacia Maduro y su régimen.",DISCURSO_048_FR_003,DISCURSO_048
Presidente Javier Milei,indignación,realizada,"El uso de ""exigimos"" y el contexto de denunciar el secuestro indican una postura de indignación contra la acción del régimen.",DISCURSO_048_FR_004,DISCURSO_048
Presidente Javier Milei,determinación,realizada,"La frase ""agotaremos todas las vías diplomáticas"" expresa la firme intención y la determinación de lograr la liberación.",DISCURSO_048_FR_004,DISCURSO_048
Presidente Javier Milei,esperanza,realizada,"La expresión ""para devolverlo sano y salvo"" refleja la esperanza de que el proceso resulte exitoso y el individuo sea recuperado sin daños.",DISCURSO_048_FR_004,DISCURSO_048
Presidente Javier Milei,deseo,realizada,"El verbo 'quiero' expresa un deseo de saludar, indicando un estado emocional de deseo.",DISCURSO_048_FR_005,DISCURSO_048
Presidente Javier Milei,gratitud,realizada,"El enunciador agradece a los acompañantes, lo que indica una emoción de gratitud realizada.",DISCURSO_048_FR_006,DISCURSO_048
Presidente Javier Milei,aprecio,realizada,"El discurso reconoce la presencia de los acompañantes y la importancia de su apoyo, lo que sugiere una emoción de aprecio realizada.",DISCURSO_048_FR_006,DISCURSO_048
Presidente Javier Milei,orgullo,potencial,"El enunciador describe la jornada como 'inolvidable', una valoración positiva que sugiere que el enunciador siente orgullo potencial por el evento y los participantes.",DISCURSO_048_FR_006,DISCURSO_048
Presidente Javier Milei,honor,Realizada,La frase 'es un honor para mí' expresa directamente el sentimiento de honor del enunciador.,DISCURSO_048_FR_007,DISCURSO_048
Presidente Javier Milei,felicidad,Realizada,El enunciador expresa alegría al ofrecer sus más sinceras felicitaciones a los graduados.,DISCURSO_048_FR_009,DISCURSO_048
Presidente Javier Milei,orgullo,Realizada,El gesto de felicitar y reconocer el logro de los graduados implica orgullo por su desempeño.,DISCURSO_048_FR_009,DISCURSO_048
Presidente Javier Milei,orgullo,realizada,"El discurso celebra el logro de los graduados al concluir una etapa de formación, lo que implica un sentimiento de orgullo por su éxito.",DISCURSO_048_FR_011,DISCURSO_048
Presidente Javier Milei,esperanza,realizada,"Al afirmar que la nueva etapa implica que nunca dejarán de aprender, el enunciador proyecta una visión positiva y esperanzadora del futuro de los graduados.",DISCURSO_048_FR_011,DISCURSO_048
Presidente Javier Milei,orgullo,realizada,"El enunciador menciona que los sables representan los máximos principios y valores de los héroes emancipadores, lo que implica una valoración positiva y un sentimiento de orgullo por la tradición y por los graduados que recibirán el símbolo.",DISCURSO_048_FR_012,DISCURSO_048
Presidente Javier Milei,reverencia,realizada,"La referencia a los ""héroes emancipadores"" y a los ""máximos principios y valores"" sugiere una actitud de reverencia hacia la historia y los valores que los sables encarnan.",DISCURSO_048_FR_012,DISCURSO_048
Presidente Javier Milei,respeto,realizada,"El discurso reconoce la importancia de los valores y la tradición militar, lo que denota un sentimiento de respeto hacia la institución y sus símbolos.",DISCURSO_048_FR_012,DISCURSO_048
Presidente Javier Milei,anticipación,realizada,"La expresión ""en instantes"" indica que el acto de entrega está próximo, lo que genera una sensación de anticipación por parte del enunciador ante el evento.",DISCURSO_048_FR_012,DISCURSO_048
Presidente Javier Milei,orgullo,actual,"El discurso celebra la entrega de juramentos y la formación de nuevos oficiales, lo que sugiere un sentimiento de orgullo por la institución y por los oficiales que se comprometen a servir.",DISCURSO_048_FR_014,DISCURSO_048
Presidente Javier Milei,esperanza,potencial,"Al referirse a un juramento que los comprometerá a una vida entera de servicio a la nación, el enunciador proyecta una visión positiva y esperanzadora del futuro de la nación y de los oficiales.",DISCURSO_048_FR_014,DISCURSO_048
Presidente Javier Milei,determinación,actual,El énfasis en la fidelidad a la constitución y el compromiso de los oficiales indica una actitud de determinación por parte del presidente para mantener la integridad constitucional.,DISCURSO_048_FR_014,DISCURSO_048
Presidente Javier Milei,solemnidad,actual,"La ceremonia de entrega de sables y juramentos se describe con un tono solemne, reflejando la emoción de solemnidad que el presidente experimenta al presenciar el acto.",DISCURSO_048_FR_014,DISCURSO_048
Presidente Javier Milei,reverencia,actual,"El acto de jurar fidelidad a la constitución nacional implica una reverencia hacia la ley y la patria, emoción que el presidente comparte al dirigir el discurso.",DISCURSO_048_FR_014,DISCURSO_048
Presidente Javier Milei,orgullo,realizada,"El discurso alogia los valores de orden, valor y gloria, indicando orgullo por la tradición militar y por la importancia del día.",DISCURSO_048_FR_015,DISCURSO_048
Presidente Javier Milei,esperanza,potencial,"Al pedir que los graduados recuerden y graben los preceptos, el presidente expresa la esperanza de que internalicen esos valores en el futuro.",DISCURSO_048_FR_015,DISCURSO_048
Presidente Javier Milei,determinación,realizada,El mandato de recordar y grabar los preceptos refleja la determinación del presidente de que los oficiales mantengan esos principios.,DISCURSO_048_FR_015,DISCURSO_048
Presidente Javier Milei,reverencia,realizada,El llamado a ‘recuerden bien este día’ muestra reverencia por la ocasión y la importancia histórica del evento.,DISCURSO_048_FR_015,DISCURSO_048
Presidente Javier Milei,orgullo,actual,"El enunciado alude a la función del ejército como guía norte para una vida de servicio a la patria, lo que implica un sentimiento de orgullo hacia las fuerzas armadas.",DISCURSO_048_FR_016,DISCURSO_048
Presidente Javier Milei,patriotismo,actual,La referencia explícita al servicio de la patria indica un sentimiento de patriotismo por parte del presidente.,DISCURSO_048_FR_016,DISCURSO_048
Presidente Javier Milei,determinación,actual,"Al describir al ejército como el norte, el presidente sugiere una determinación firme de seguir esa dirección y cumplir con la misión.",DISCURSO_048_FR_016,DISCURSO_048
Presidente Javier Milei,confianza,realizada,"El enunciador declara 'no tengo duda', lo que indica una certeza y confianza en la capacidad de los graduados.",DISCURSO_048_FR_017,DISCURSO_048
Presidente Javier Milei,esperanza,potencial,"El enunciador expresa la expectativa de que los graduados logren que los argentinos se sientan orgullosos, lo que implica una actitud optimista/esperanzada hacia el futuro.",DISCURSO_048_FR_017,DISCURSO_048
Presidente Javier Milei,orgullo,realizada,"El enunciador afirma que el momento histórico ""carga nuestras acciones y compromisos de un significado especial"", lo que implica un reconocimiento de la importancia del país y genera un sentimiento de orgullo.",DISCURSO_048_FR_018,DISCURSO_048
Presidente Javier Milei,responsabilidad,realizada,"Al señalar que el momento histórico ""carga nuestras acciones y compromisos de un significado especial"", el enunciador reconoce la necesidad de actuar con responsabilidad ante la importancia de la situación.",DISCURSO_048_FR_018,DISCURSO_048
Presidente Javier Milei,indignación,realizada,El enunciador expresa indignación al afirmar que la casta política impuso una realidad miserable a los argentinos.,DISCURSO_048_FR_019,DISCURSO_048
Presidente Javier Milei,frustración,realizada,"Milei muestra frustración al referirse a ""por demasiado tiempo"" la imposición de la realidad miserable.",DISCURSO_048_FR_019,DISCURSO_048
Presidente Javier Milei,esperanza,realizada,"El enunciador expresa esperanza al afirmar que ""hemos comenzado a revertir"" la situación.",DISCURSO_048_FR_019,DISCURSO_048
Presidente Javier Milei,determinación,realizada,El enunciador muestra determinación al enfatizar el esfuerzo colectivo para revertir la realidad.,DISCURSO_048_FR_019,DISCURSO_048
Presidente Javier Milei,indignación,Realizada,"El enunciador condena a la casta como ""legados nefastos"" y señala que han fracturado la relación con las fuerzas armadas, lo que indica una fuerte reacción moral y de indignación hacia la acción del régimen.",DISCURSO_048_FR_020,DISCURSO_048
Presidente Javier Milei,ira,Realizada,"La frase expresa descontento y enojo al afirmar que la casta ha fracturado la relación entre la política y las fuerzas armadas, lo que sugiere una emoción de ira dirigida contra la casta.",DISCURSO_048_FR_020,DISCURSO_048
Presidente Javier Milei,Indignación,Realizada,"El enunciador critica a quienes, a pesar de hablar de soberanía, se dedicaron a desprestigiar y diferenciar a las fuerzas, lo que indica una reacción de indignación frente a la hipocresía y la injusticia percibida.",DISCURSO_048_FR_021,DISCURSO_048
Presidente Javier Milei,Frustración,Realizada,"Al afirmar que ""eso nos hizo perder años valiosos en el desarrollo de nuestras capacidades militares"", el enunciador expresa frustración por la pérdida de tiempo y recursos que resultó de las acciones de la casta política.",DISCURSO_048_FR_021,DISCURSO_048
Presidente Javier Milei,Resentimiento,Realizada,El tono crítico y la acusación de desprestigiar a las fuerzas generan un sentimiento de resentimiento hacia los responsables de esa conducta.,DISCURSO_048_FR_021,DISCURSO_048
Presidente Javier Milei,Decepción,Realizada,La referencia a la pérdida de años valiosos implica una decepción por el resultado negativo que se derivó de la falta de apoyo y respeto de la casta política.,DISCURSO_048_FR_021,DISCURSO_048
Presidente Javier Milei,Alivio,Realizada,El uso de la expresión 'por suerte' y la afirmación de que no lograron destruir el afecto persistente de la sociedad por las fuerzas armadas indica que el presidente siente alivio por la preservación de ese valor.,DISCURSO_048_FR_022,DISCURSO_048
Presidente Javier Milei,Orgullo,Realizada,El enunciador expresa orgullo al afirmar que sus fuerzas tienen el respeto y reconocimiento que merecen.,DISCURSO_048_FR_023,DISCURSO_048
Presidente Javier Milei,Esperanza,Potencial,"Al decir que están escribiendo una nueva página, el enunciador muestra esperanza en el futuro.",DISCURSO_048_FR_023,DISCURSO_048
Presidente Javier Milei,Alivio,Realizada,El acto de dar vuelta a una página triste implica alivio al dejar atrás la tristeza.,DISCURSO_048_FR_023,DISCURSO_048
Presidente Javier Milei,Determinación,Actual,El enunciador muestra determinación al afirmar que están comenzando a escribir una nueva página.,DISCURSO_048_FR_023,DISCURSO_048
Presidente Javier Milei,Optimismo,Potencial,El tono positivo y la referencia a una nueva página reflejan optimismo sobre el futuro.,DISCURSO_048_FR_023,DISCURSO_048
Presidente Javier Milei,Satisfacción,Realizada,El enunciador se siente satisfecho al afirmar que sus fuerzas reciben el respeto y reconocimiento que merecen.,DISCURSO_048_FR_023,DISCURSO_048
Presidente Javier Milei,orgullo,realizada,"El enunciador declara que están reconcilando las fuerzas armadas con la política, una acción positiva que suele generar orgullo en quien la lleva a cabo.",DISCURSO_048_FR_024,DISCURSO_048
Presidente Javier Milei,satisfacción,realizada,"La afirmación de que se está reconcilando indica que el presidente percibe el proceso como satisfactorio, reflejando una emoción de satisfacción.",DISCURSO_048_FR_024,DISCURSO_048
Presidente Javier Milei,esperanza,potencial,"El discurso sugiere una expectativa positiva sobre el futuro de la relación entre las fuerzas armadas y la política, lo que implica una esperanza potencial.",DISCURSO_048_FR_024,DISCURSO_048
Presidente Javier Milei,optimismo,potencial,"Al afirmar la reconciliación, el presidente proyecta una visión positiva y optimista de la situación, lo que se interpreta como optimismo potencial.",DISCURSO_048_FR_024,DISCURSO_048
Presidente Javier Milei,confianza,realizada,"El enunciador afirma que el gobierno hará todo lo que esté a su alcance para jerarquizar las fuerzas, lo que implica confianza en su capacidad y en el resultado.",DISCURSO_048_FR_025,DISCURSO_048
Presidente Javier Milei,determinación,realizada,"La frase ""hará todo lo que esté a su alcance"" expresa una actitud decidida y comprometida, caracterizando determinación.",DISCURSO_048_FR_025,DISCURSO_048
Presidente Javier Milei,orgullo,realizada,"Al referirse a ""honrando el legado que nos dejaron Roca y San Martín"", el enunciador muestra orgullo por la tradición militar argentina.",DISCURSO_048_FR_025,DISCURSO_048
Presidente Javier Milei,esperanza,realizada,"El enunciador alude a que la nueva camada será testigo de algo inédito y que el gobierno acompañará a los egresados, lo que sugiere una esperanza positiva sobre el futuro.",DISCURSO_048_FR_025,DISCURSO_048
Presidente Javier Milei,optimismo,realizada,La declaración de que el gobierno hará todo lo posible y que los egresados contarán con su apoyo refleja una actitud optimista respecto a los resultados.,DISCURSO_048_FR_025,DISCURSO_048
Presidente Javier Milei,concern,Realizada,"El enunciador expresa preocupación por los desafíos que atraviesa la patria, lo cual se refleja en la frase ""porque los desafíos que atraviesa nuestra patria nos exigen estar preparados"".",DISCURSO_048_FR_026,DISCURSO_048
Presidente Javier Milei,determination,Realizada,"El enunciador muestra determinación al afirmar que ""les exigirá"" y al demandar que cada cual se desempeñe con coraje, decisión y responsabilidad.",DISCURSO_048_FR_026,DISCURSO_048
Presidente Javier Milei,orgullo,Realizada,"El enunciador menciona la batalla de Caseros, un hito histórico argentino, lo que sugiere orgullo por la historia y la identidad nacional.",DISCURSO_048_FR_027,DISCURSO_048
Presidente Javier Milei,respet,Realizada,"Al referirse a la batalla de Caseros como un lugar de conmemoración, el enunciador muestra respeto hacia el evento histórico y sus protagonistas.",DISCURSO_048_FR_027,DISCURSO_048
Presidente Javier Milei,orgullo,realizada,"El enunciador alude a un ""llamado histórico"" y a la necesidad de que los camaradas estén a la altura, lo que implica un sentimiento de orgullo por la misión y la capacidad de los oficiales.",DISCURSO_048_FR_028,DISCURSO_048
Presidente Javier Milei,determinación,realizada,"La frase ""prevalecer contra la tiranía rosista"" expresa la firme intención y la voluntad de vencer, reflejando una determinación activa del orador.",DISCURSO_048_FR_028,DISCURSO_048
Presidente Javier Milei,indignación,realizada,"Al referirse a la ""tiranía rosista"" el enunciador muestra una postura crítica y de rechazo frente a esa situación, lo que denota indignación hacia la injusticia.",DISCURSO_048_FR_028,DISCURSO_048
Presidente Javier Milei,esperanza,potencial,"El enunciador expresa un deseo de que la memoria motive a los graduados, lo que implica una esperanza de que se produzca esa motivación.",DISCURSO_048_FR_029,DISCURSO_048
Presidente Javier Milei,confianza,Realizada,"El enunciador expresa confianza al afirmar que la nación cuenta con los oficiales egresados, indicando una valoración positiva y una expectativa de su desempeño.",DISCURSO_048_FR_030,DISCURSO_048
Presidente Javier Milei,confianza,Realizada,"El enunciador afirma que los oyentes pueden contar con la nación, lo que implica que el presidente siente confianza en la capacidad de la nación para apoyar a los graduados.",DISCURSO_048_FR_031,DISCURSO_048
Presidente Javier Milei,gratitud,realizada,"El enunciador expresa una especial mención a las fuerzas armadas por su contribución, lo que implica gratitud hacia ellos.",DISCURSO_048_FR_032,DISCURSO_048
Presidente Javier Milei,respeto,realizada,"La frase reconoce la labor de los hombres y mujeres de las fuerzas armadas, indicando un sentimiento de respeto.",DISCURSO_048_FR_032,DISCURSO_048
Presidente Javier Milei,orgullo,realizada,"Al destacar la contribución a la formación de nuevos oficiales, el enunciador muestra orgullo por el trabajo realizado.",DISCURSO_048_FR_032,DISCURSO_048
Presidente Javier Milei,admiración,realizada,La mención especial a los hombres y mujeres de las fuerzas armadas sugiere admiración por su labor y compromiso.,DISCURSO_048_FR_032,DISCURSO_048
Presidente Javier Milei,esperanza,Potencial,"El enunciador expresa su deseo de que los graduados los hagan sentir orgullosos, lo que indica una emoción de esperanza sobre un resultado futuro.",DISCURSO_048_FR_034,DISCURSO_048
Presidente Javier Milei,gratitud,realizada,"El enunciador expresa su deseo de agradecer a los familiares de los oficiales, lo que indica una emoción de gratitud manifestada en el discurso.",DISCURSO_048_FR_035,DISCURSO_048
Presidente Javier Milei,felicidad,realizada,"El enunciador expresa el deseo de que los oyentes tengan una feliz navidad, lo que indica que él mismo se siente feliz o desea felicidad, representado en el discurso.",DISCURSO_048_FR_036,DISCURSO_048
Presidente Javier Milei,optimismo,potencial,"Al invitar a planificar en grande para el próximo año, el enunciador muestra una actitud optimista hacia el futuro, expresando una emoción potencial sobre lo que se espera.",DISCURSO_048_FR_036,DISCURSO_048
Presidente Javier Milei,esperanza,potencial,"El enunciador expresa un deseo de que Dios bendiga a los presentes y a los argentinos, lo que indica una esperanza en que se produzca dicha bendición.",DISCURSO_048_FR_037,DISCURSO_048
Presidente Javier Milei,confianza,potencial,"Al pedir que las fuerzas del cielo nos acompañen, el enunciador muestra confianza en la intervención divina, lo que refleja una emoción de confianza.",DISCURSO_048_FR_037,DISCURSO_048
Presidente Javier Milei,gratitud,Realizada,"El enunciador expresa ""muchas gracias"", una manifestación explícita de gratitud hacia el público.",DISCURSO_048_FR_038,DISCURSO_048
Presidente Javier Milei,felicidad,Realizada,"Al decir ""felicidades a todos"", el enunciador transmite una emoción de alegría y celebración.",DISCURSO_048_FR_038,DISCURSO_048
Presidente Javier Milei,orgullo,Realizada,"La exclamación ""¡viva la patria!"" refleja un sentimiento de orgullo y entusiasmo patriótico por parte del enunciador.",DISCURSO_048_FR_038,DISCURSO_048
