foria,foria_justificacion,recorte_id,experienciador,tipo_emocion,dominancia,dominancia_justificacion,intensidad,intensidad_justificacion,fuente,tipo_fuente,fuente_justificacion
Disfórico,"La indignación expresada por el presidente Milei al referirse al ""secuestro ilegal"" de Nahuel Gallo refleja una reacción de malestar y desaprobación ante una acción ilícita, lo cual corresponde a una tonalidad afectiva negativa típica de las emociones disfóricas.",DISCURSO_048_FR_002,Presidente Javier Milei,indignación,Cognoscitiva,"El enunciador evalúa la acción como ilegal e injusta, expresando juicio y sentimiento de indignación sin indicios de manifestaciones corporales.",Alta,"El enunciador menciona explícitamente el ""secuestro ilegal"" de Nahuel Gallo y lo presenta como una acción ilícita que merece una reacción de indignación. La referencia a este hecho antes de iniciar el discurso indica una fuerte condena y una respuesta emocional intensa, típica de la indignación en un contexto político y de injusticia. Por lo tanto, la intensidad de la emoción se infiere como alta.",secuestro ilegal de Nahuel Gallo en Venezuela,situacion,"El expresidente Javier Milei muestra indignación al referirse al secuestro ilegal de Nahuel Gallo, un evento externo que constituye la causa directa de su emoción."
Disfórico,"El sentimiento de desprecio y desdén expresado en la frase ""dictador criminal"" y la crítica a la detención por un delito trivial indica una emoción negativa y de malestar, lo que corresponde al carácter disfórico según la ontología y las heurísticas proporcionadas.",DISCURSO_048_FR_003,Presidente Javier Milei,contempto,Cognoscitiva,"El sentimiento de desprecio se manifiesta principalmente a través de juicios evaluativos: se califica a Maduro como ""dictador criminal"" y se minimiza la gravedad de la detención, lo que indica una valoración cognitiva de superioridad y desdén, sin indicios de manifestaciones corporales o sensaciones físicas.",Alta,"El discurso emplea calificativos fuertes como ""dictador criminal"" y presenta la detención como un acto de gravedad exagerada por un delito trivial, lo que indica un desprecio intenso y una expresión de desprecio clara hacia Maduro y su régimen.",dictador criminal Nicolás Maduro,actor,"El sentimiento de desprecio se origina en la referencia negativa a Nicolás Maduro como ""dictador criminal"" y la trivialidad del delito que lo llevó a ser detenido, lo que provoca una actitud de desprecio hacia él y su régimen."
Disfórico,"El discurso expresa indignación hacia la detención injusta y la condena de Maduro como dictador criminal, lo que indica una emoción negativa y de malestar.",DISCURSO_048_FR_003,Presidente Javier Milei,indignación,Cognoscitiva,"El discurso presenta juicios y evaluaciones morales (denominación de Maduro como ""dictador criminal"" y la crítica a la injusticia de la detención), sin manifestaciones físicas o sensaciones corporales explícitas, lo que indica una dominancia cognoscitiva de la emoción de indignación.",Alta,"El enunciador utiliza un lenguaje fuerte y condenatorio al referirse a Nicolás Maduro como ""dictador criminal"" y al describir la detención como una injusticia por un delito trivial. La combinación de calificativos negativos y la crítica directa indican una expresión intensa de indignación.",detención de la pareja y el hijo por las fuerzas de seguridad a cargo de Nicolás Maduro,situacion,"La indignación del presidente Milei se desencadena por el evento concreto de la detención, considerado injusto y trivial, que constituye una situación que provoca la emoción."
Afórico,"La emoción de determinación se caracteriza por una firme voluntad de lograr un objetivo sin expresar explícitamente alegría ni malestar. En el discurso, la frase indica una intención resoluta y decidida, pero no transmite una tonalidad afectiva positiva (eufórica) ni negativa (disfórica). Por lo tanto, se clasifica como afórica, es decir, neutra en cuanto a polaridad emocional.",DISCURSO_048_FR_004,Presidente Javier Milei,determinación,Cognoscitiva,"La expresión ""agotaremos todas las vías diplomáticas"" refleja un juicio deliberado, una evaluación estratégica y la intención firme de actuar, sin manifestaciones físicas explícitas. Por lo tanto, la dominancia de la emoción de determinación se ubica en el dominio cognoscitivo.",Alta,"El discurso emplea verbos fuertes como ""exigimos"" y ""agotaremos"", además de la expresión ""inmediata"" y la referencia a ""todas las vías diplomáticas"", lo que indica una intención firme y urgente, caracterizando una alta intensidad de determinación.",la detención de la persona,situacion,"La determinación del presidente surge como respuesta directa a la situación de detención de la persona, lo que motiva la exigencia de su liberación inmediata y el uso de vías diplomáticas."
Eufórico,"La expresión de esperanza y la expectativa de un resultado positivo (liberación sana y salvo) indican un tono positivo y optimista, característico de la emoción eufórica.",DISCURSO_048_FR_004,Presidente Javier Milei,esperanza,Cognoscitiva,"La esperanza se manifiesta en la evaluación positiva y la expectativa de éxito, evidenciada por la determinación de exigir la liberación y la planificación de vías diplomáticas, sin indicios de manifestaciones corporales.",Alta,"El discurso muestra una demanda urgente y la determinación de usar todas las vías diplomáticas, lo que indica una esperanza fuerte y activa de que el proceso sea exitoso y el individuo sea recuperado sin daños.",vías diplomáticas para devolverlo sano y salvo a la argentina,situacion,"La esperanza surge de la expectativa de que las vías diplomáticas llevarán a la liberación y retorno seguro del individuo, constituyendo una situación externa que genera la emoción."
disforico,"La emoción de indignación se caracteriza por un tono negativo de malestar y descontento frente a una acción percibida como injusta o violatoria. En el discurso se emplean verbos y expresiones como ""exigimos"" y la denuncia de un secuestro, lo que refuerza la carga negativa y de protesta, alineándose con la categoría disfórica.",DISCURSO_048_FR_004,Presidente Javier Milei,indignación,cognoscitiva,"El discurso expresa indignación a través de juicios morales y evaluaciones (""exigimos"", ""inmediata"", ""agotar todas las vías diplomáticas""), sin manifestaciones físicas explícitas, lo que indica una dominancia cognoscitiva.",Alta,"El uso de ""exigimos"" y la declaración de ""agotar todas las vías diplomáticas"" indican una demanda firme y urgente, típica de una indignación con alta intensidad. Además, el contexto de denunciar un secuestro y la urgencia de la liberación refuerzan la fuerza emocional del discurso.",secuestro,situacion,"La indignación surge al denunciar el secuestro, un evento que implica la violación de derechos y la acción del régimen."
Eufórico,"El verbo 'quiero' indica un deseo de saludar, que se interpreta como una expresión de entusiasmo y cordialidad. El contexto de un discurso de bienvenida y reconocimiento a los militares y a los nuevos egresados sugiere un tono positivo y alegre, característico de la euforía.",DISCURSO_048_FR_005,Presidente Javier Milei,deseo,Cognoscitiva,"El deseo se manifiesta a través del verbo ""quiero"", una expresión verbal que indica una intención o deseo de saludar. No hay indicios de manifestaciones físicas o sensaciones corporales, por lo que la emoción se basa principalmente en un juicio o intención, lo que indica dominancia cognoscitiva.",Baja,"El deseo de saludar se expresa con el verbo ""quiero"" sin intensificadores ni adverbios que aumenten su fuerza. El contexto es una formalidad de discurso, donde la expresión de deseo es habitual y no implica una emoción intensa. Por lo tanto, la intensidad se considera baja.","la situación de estar en el evento con el ministro de defensa, los jefes del estado mayor, el poder ejecutivo y los nuevos egresados de las fuerzas armadas",situacion,"El deseo de saludar surge del contexto de la reunión formal donde están presentes el ministro de defensa, los jefes del estado mayor, el poder ejecutivo y los nuevos egresados, lo que constituye la situación que desencadena la emoción."
euforico,"El discurso expresa gratitud y reconocimiento hacia los acompañantes, lo que indica una emoción positiva y de satisfacción. La apreciación se manifiesta como alegría y entusiasmo por su presencia, lo que corresponde al carácter eufórico según la ontología.",DISCURSO_048_FR_006,Presidente Javier Milei,aprecio,cognoscitiva,"El discurso expresa reconocimiento y gratitud hacia los acompañantes, lo que implica juicios y evaluaciones de su apoyo. No se mencionan manifestaciones físicas ni sensaciones corporales, por lo que la dominancia se identifica como cognoscitiva.",Alta,"El discurso expresa un agradecimiento explícito y enfático, resaltado por la frase ""inolvidable jornada"", lo que indica una apreciación fuerte y claramente expresada.",los asistentes que han venido a acompañarlos,actor,El reconocimiento de la presencia y apoyo de los asistentes genera una sensación de aprecio en el presidente.
euforico,"La expresión de gratitud indica un tono positivo de satisfacción y aprecio, lo que la clasifica como una emoción eufórica según la ontología y las heurísticas de tonalidad afectiva.",DISCURSO_048_FR_006,Presidente Javier Milei,gratitud,Cognoscitiva,"El enunciado expresa un reconocimiento y valoración de la presencia de los acompañantes, lo que implica un juicio de agradecimiento y aprecio. No se menciona ninguna manifestación física específica (gestos, expresiones faciales, sensaciones corporales), por lo que la emoción se manifiesta principalmente a nivel cognitivo.",Baja,"El enunciado expresa gratitud de manera sencilla y sin énfasis emocional fuerte; la frase es una simple expresión de agradecimiento sin adverbios intensificadores ni tono exaltado, lo que indica una intensidad baja.",todos aquellos que han venido a acompañarlos,actor,"El agradecimiento del presidente se dirige a las personas que asistieron y acompañaron la jornada, por lo que la fuente de la emoción es el grupo de asistentes, clasificado como actor según la ontología."
euforico,"El discurso describe la jornada como ""inolvidable"" y expresa orgullo por los participantes, lo que indica una valoración positiva y de satisfacción. La emoción de orgullo se alinea con la tonalidad eufórica, caracterizada por alegría, entusiasmo y satisfacción, sin indicios de malestar o neutralidad. Por lo tanto, el carácter fórico de la emoción identificada es eufórico.",DISCURSO_048_FR_006,Presidente Javier Milei,orgullo,cognoscitiva,"El enunciador evalúa la jornada como inolvidable y expresa orgullo por los participantes, lo que indica una valoración cognitiva sin indicios de manifestaciones corporales.",Alta,"El enunciador utiliza el adjetivo ""inolvidable"" para describir la jornada, lo que indica una valoración muy positiva y fuerte. Además, al dirigirse a los asistentes con orgullo, se expresa una emoción intensa y celebratoria. En conjunto, la presencia de un calificativo fuerte y la expresión de orgullo sugieren una intensidad alta.",la jornada,situacion,"El orgullo se origina en la valoración positiva de la jornada como inolvidable y en la presencia de los asistentes, lo que constituye una situación que provoca la emoción."
euforico,"La expresión ""es un honor para mí"" refleja un sentimiento positivo de orgullo y satisfacción, característico de una emoción eufórica. El tono de la frase transmite entusiasmo y gratitud por la oportunidad de participar en la ceremonia, lo que indica una tonalidad afectiva claramente positiva.",DISCURSO_048_FR_007,Presidente Javier Milei,honor,Cognoscitiva,"La expresión ""es un honor para mí"" indica una valoración y reconocimiento interno del evento, reflejando un juicio cognitivo sobre la importancia y dignidad de la ceremonia. No se menciona ninguna manifestación física o sensación corporal, por lo que la dominancia se ubica en el dominio cognoscitivo.",Neutra/Ambivalente,"La frase ""es un honor para mí"" es una expresión estándar y formal sin adverbios o intensificadores que aumenten su fuerza emocional. No se percibe una exaltación ni una leveza marcada, por lo que la intensidad se considera neutra o ambivalente dentro del contexto discursivo.",la ceremonia de egreso conjunto,situacion,El acto de participar en la ceremonia de egreso conjunto constituye un evento formal y significativo que genera el sentimiento de honor en el presidente.
euforico,"El enunciador expresa alegría y entusiasmo al ofrecer sus más sinceras felicitaciones a los graduados, lo cual indica una tonalidad afectiva positiva y de satisfacción, característica de la emoción eufórica.",DISCURSO_048_FR_009,Presidente Javier Milei,felicidad,Cognoscitiva,"El discurso expresa felicidad a través de una evaluación positiva y un reconocimiento verbal (“mis más sinceras felicitaciones”), sin mencionar manifestaciones físicas explícitas. La emoción se manifiesta principalmente en juicios y pensamientos asociados al logro y la celebración, lo que indica una dominancia cognoscitiva.",Alta,"El discurso expresa alegría y gratitud al ofrecer ""mis más sinceras felicitaciones"" a los graduados, un gesto que implica una emoción fuerte y genuina. La elección de palabras como ""más sinceras"" y el contexto de una ceremonia de graduación refuerzan la intensidad alta de la felicidad manifestada.",la finalización de la formación básica para el servicio a la patria,situacion,"El presidente expresa felicidad al reconocer que los graduados han concluido la formación básica que eligieron, lo cual constituye un evento que desencadena la emoción."
euforico,"La expresión de orgullo implica una valoración positiva y de satisfacción hacia el logro de los graduados, lo que corresponde a un tono afectivo eufórico según la ontología y las heurísticas de inferencia.",DISCURSO_048_FR_009,Presidente Javier Milei,orgullo,Cognoscitiva,"El discurso expresa orgullo a través de la evaluación y reconocimiento del logro de los graduados, manifestado en la frase ""mis más sinceras felicitaciones"". No se mencionan sensaciones físicas ni gestos corporales, por lo que la emoción se presenta principalmente en el plano cognitivo.",Alta,"El discurso emplea expresiones de reconocimiento y felicitación directa, como ""mis más sinceras felicitaciones"", que indican un orgullo fuerte y explícito por el logro de los graduados. La formalidad del contexto (graduación militar) y la elección de adjetivos que subrayan la sinceridad refuerzan la intensidad emocional, situándola en el rango de alta.",la finalización de la formación básica para el servicio a la patria por parte de los graduados,situacion,"El orgullo se desencadena por el logro concreto de los graduados al completar la formación básica, un evento significativo que el presidente reconoce y felicita."
euforico,"El discurso expresa una visión positiva y esperanzadora del futuro de los graduados, resaltando la continuidad del aprendizaje y el acompañamiento de las enseñanzas a lo largo de sus vidas. Este tono optimista y de expectativa favorable corresponde a la categoría eufórica, caracterizada por la alegría, entusiasmo y satisfacción que la esperanza evoca.",DISCURSO_048_FR_011,Presidente Javier Milei,esperanza,Cognoscitiva,"La expresión de esperanza se centra en la valoración positiva y la expectativa futura de aprendizaje continuo. No se menciona ninguna manifestación física ni gesto corporal; la emoción se manifiesta a través de juicios y evaluaciones mentales sobre el futuro de los graduados, lo que indica una dominancia cognoscitiva.",Alta,"El discurso expresa una visión muy positiva y optimista sobre el futuro de los graduados, enfatizando que nunca dejarán de aprender y que las enseñanzas los acompañarán toda la vida. El uso de expresiones como ""nunca dejarán de aprender"" y la referencia a un acompañamiento permanente refuerzan la fuerza de la emoción de esperanza, lo que indica una intensidad alta.",nueva etapa de aprendizaje,situacion,"El discurso menciona que termina una etapa y comienza otra donde nunca dejarán de aprender, lo que genera esperanza en los graduados."
Eufórico,"El discurso celebra el logro de los graduados y expresa orgullo, un sentimiento positivo y de satisfacción. La frase destaca el cierre de una etapa y el inicio de otra llena de aprendizaje, lo que refuerza la tonalidad alegre y entusiasta típica de la emoción eufórica.",DISCURSO_048_FR_011,Presidente Javier Milei,orgullo,Cognoscitiva,"El orgullo se expresa a través de la valoración positiva de la finalización de la etapa y la expectativa de aprendizaje futuro, sin mencionar sensaciones corporales o gestos; por lo tanto, la dominancia es cognoscitiva.",Alta,"El discurso celebra el logro de los graduados al concluir una etapa de formación, lo que implica un sentimiento de orgullo por su éxito. La expresión es celebratoria y positiva, típica de un tono de orgullo fuerte, lo que sugiere una intensidad alta.",el logro de los graduados al concluir una etapa de formación,situacion,"El orgullo del presidente surge al observar el evento concreto de que los graduados han terminado una etapa de su formación, lo cual constituye una situación específica que desencadena la emoción."
Eufórico,"La emoción identificada es anticipación, y el contexto del discurso es claramente positivo: la entrega de los sables simboliza principios y valores heroicos. La expectativa de un evento favorable genera una sensación de entusiasmo y satisfacción, lo que la coloca dentro de la categoría eufórica según las heurísticas de tonalidad afectiva.",DISCURSO_048_FR_012,Presidente Javier Milei,anticipación,Cognoscitiva,"La emoción de anticipación se manifiesta principalmente a través de juicios y evaluaciones mentales sobre el evento próximo, sin indicios de manifestaciones corporales explícitas en el discurso. El uso de ""en instantes"" señala una expectativa mental y una valoración cognitiva del momento que se avecina, lo que indica una dominancia cognoscitiva.",Baja,"El discurso emplea el adverbio temporal ""en instantes"" sin intensificadores ni expresiones que aumenten la emoción. La referencia a la entrega de los sables se presenta de manera informativa y formal, lo que sugiere una sensación de anticipación leve y no intensamente expresada.",la entrega de los sables,situacion,"La emoción de anticipación surge porque el presidente menciona que en instantes se realizará la entrega de los sables, un evento concreto que está próximo a ocurrir."
euforico,"El discurso expresa orgullo y celebración al mencionar que los sables simbolizan los máximos principios y valores de los héroes emancipadores, lo que implica una valoración positiva y satisfacción. Esta valoración positiva y el tono de celebración corresponden a la categoría eufórica.",DISCURSO_048_FR_012,Presidente Javier Milei,orgullo,Cognoscitiva,"El discurso expresa orgullo a través de juicios y evaluaciones sobre los valores y la tradición de los héroes emancipadores, sin mencionar manifestaciones físicas o gestos. Por lo tanto, la dominancia de la emoción identificada es cognoscitiva.",Alta,"El discurso expresa un orgullo fuerte y celebratorio al mencionar que los sables, símbolos de los máximos principios y valores de los héroes emancipadores, serán entregados a los graduados. La referencia a la tradición y la exaltación de los valores nacionales indica una emoción intensamente positiva, típica de un orgullo elevado en un contexto ceremonial y simbólico.",los sables,objeto,"El orgullo se desencadena por la entrega de los sables, que simbolizan los máximos principios y valores de los héroes emancipadores, generando una valoración positiva y orgullo por la tradición y los graduados que recibirán el símbolo."
aforico,"El sentimiento de respeto se expresa de manera neutral, sin tono de alegría ni malestar, por lo que se clasifica como afórico.",DISCURSO_048_FR_012,Presidente Javier Milei,respeto,Cognoscitiva,"El sentimiento de respeto se manifiesta principalmente a través de juicios y evaluaciones sobre la importancia de los valores y la tradición militar, sin indicios de manifestaciones corporales o sensaciones físicas asociadas.",Baja,"El discurso presenta un tono formal y respetuoso sin el uso de adjetivos o verbos que intensifiquen la emoción. La frase se limita a describir la entrega simbólica de los sables y la referencia a los valores de los héroes emancipadores, sin recurrir a expresiones apasionadas o exclamaciones que indiquen una emoción fuerte. Por lo tanto, la intensidad del respeto expresado se considera baja.",los sables,objeto,"Los sables son objetos materiales que simbolizan los máximos principios y valores de los héroes emancipadores, y su entrega evoca un sentimiento de respeto hacia la institución y sus símbolos."
aforico,"La reverencia expresa un respeto y admiración solemne hacia los héroes y sus valores, lo cual es una emoción positiva pero no se caracteriza por la alegría, entusiasmo o satisfacción típica del eufórico. Tampoco presenta un tono negativo, por lo que no es disfórico. Al no mostrar una polaridad claramente positiva o negativa, se clasifica como afórico.",DISCURSO_048_FR_012,Presidente Javier Milei,reverencia,Cognoscitiva,"La reverencia expresada en el discurso se fundamenta en juicios y evaluaciones sobre los héroes emancipadores y los valores que simbolizan los sables. No se describen manifestaciones físicas o sensaciones corporales, por lo que la emoción predomina en el ámbito cognitivo.",Alta,"La expresión de reverencia se manifiesta de forma intensa al hacer referencia a los ""héroes emancipadores"" y a los ""máximos principios y valores"" que los sables simbolizan. El tono formal y la connotación histórica del discurso refuerzan la fuerza emocional, indicando una reverencia profunda y no simplemente leve o ambivalente.",los sables,objeto,"La reverencia se desencadena por los sables, objetos simbólicos que representan los máximos principios y valores de los héroes emancipadores, evocando respeto y veneración hacia esos valores históricos."
Eufórico,"El discurso enfatiza la fidelidad a la constitución y el compromiso de los oficiales con una vida de servicio a la nación, lo que refleja una actitud de determinación positiva y entusiasmo por la misión, caracterizando la emoción como eufórica.",DISCURSO_048_FR_014,Presidente Javier Milei,determinación,Cognoscitiva,"La determinación se manifiesta principalmente a través de juicios y evaluaciones: el presidente enfatiza la fidelidad a la constitución y el compromiso de los oficiales con una vida de servicio a la nación. No se citan manifestaciones físicas ni gestos, por lo que la emoción predomina en el dominio cognoscitivo.",Alta,"El discurso utiliza verbos fuertes como ""tomará"" y ""comprometerá"", además de la referencia a una ""vida entera de servicio a la nación"", lo que indica un compromiso firme y decidido. La mención de la fidelidad a la constitución nacional refuerza la determinación del presidente, lo que sugiere una intensidad alta de la emoción identificada.",juramento de fidelidad a la constitución nacional,situacion,El acto de tomar juramento constituye un evento concreto que impulsa al presidente a manifestar determinación para asegurar la integridad constitucional y el compromiso de los oficiales con el servicio a la nación.
Eufórico,"La emoción identificada es esperanza, la cual se expresa mediante una visión positiva y optimista del futuro. El discurso menciona un juramento que comprometerá a los oficiales a una vida entera de servicio a la nación, proyectando un futuro favorable y lleno de propósito. Este tono positivo, orientado a la satisfacción y al logro de metas colectivas, se alinea con la categoría eufórica, caracterizada por alegría, entusiasmo y satisfacción.",DISCURSO_048_FR_014,Presidente Javier Milei,esperanza,Cognoscitiva,"La expresión se centra en la valoración positiva y la expectativa de un futuro mejor, sin indicios de manifestaciones físicas, lo que indica una dominancia cognoscitiva.",Baja,"El discurso presenta una visión positiva y esperanzadora sobre el futuro de la nación y el compromiso de los oficiales, pero lo hace de manera formal y sin recursos retóricos intensos (no hay exclamaciones, adjetivos superlativos ni lenguaje cargado). La expresión de esperanza se mantiene moderada y se integra en un contexto institucional, lo que sugiere una intensidad baja de la emoción.",juramento de fidelidad a la constitución nacional,situacion,"El sentimiento de esperanza se origina en la promesa de un juramento que compromete a los oficiales a una vida entera de servicio a la nación, lo cual proyecta una visión positiva y esperanzadora del futuro de la nación y de los oficiales."
euforico,"El discurso expresa orgullo y celebración por la entrega de juramentos y el compromiso de los oficiales con la nación, lo que indica un tono positivo y de satisfacción, característico de una emoción eufórica.",DISCURSO_048_FR_014,Presidente Javier Milei,orgullo,Cognoscitiva,"El orgullo se expresa a través de juicios y evaluaciones sobre la institución y los oficiales, resaltando la importancia del juramento y el compromiso con la nación; no se menciona manifestaciones físicas, por lo que la dominancia es cognoscitiva.",Alta,"El discurso celebra la entrega de juramentos y la formación de nuevos oficiales, expresando orgullo por la institución y el compromiso de los oficiales. El tono formal y la referencia a una vida entera de servicio indican una emoción de orgullo intensamente expresada.",la entrega de juramentos de fidelidad a la Constitución Nacional,situacion,"El orgullo surge al presenciar la ceremonia de juramento, un evento que simboliza el compromiso y la continuidad de la institución nacional."
Eufórico,"La emoción de reverencia expresada en el discurso se percibe como una actitud de respeto y solemnidad hacia la Constitución y la nación, lo cual implica una valoración positiva y de admiración. Dado que la reverencia se asocia con una tonalidad afectiva positiva y de estima, se clasifica dentro del rango eufórico según las heurísticas de foria.",DISCURSO_048_FR_014,Presidente Javier Milei,reverencia,Cognoscitiva,"El discurso enfatiza el compromiso moral y la lealtad a la constitución, expresando juicios y evaluaciones de respeto y deber. No se describen manifestaciones físicas o sensaciones corporales, por lo que la dominancia se identifica como cognoscitiva.",Alta,"El discurso menciona un juramento de fidelidad a la constitución nacional, un acto solemne que implica una profunda reverencia hacia la ley y la patria. La referencia a un compromiso de vida entera de servicio a la nación refuerza la intensidad de la emoción, indicando un sentimiento fuerte y expresado con solemnidad.",juramento de fidelidad a la constitución nacional,situacion,"El acto de tomar juramento ante la constitución nacional constituye una situación formal y solemne que provoca reverencia, ya que implica un compromiso profundo con la ley y la patria."
Afórico,"La solemnidad se caracteriza por un tono serio y reverente, sin una carga emocional positiva ni negativa marcada. En el discurso se describe la ceremonia con un tono solemne, reflejando una actitud de respeto y seriedad que se alinea con una emoción neutra, por lo tanto se clasifica como afórico.",DISCURSO_048_FR_014,Presidente Javier Milei,solemnidad,Cognoscitiva,"La emoción de solemnidad se manifiesta principalmente a través de juicios y evaluaciones conscientes del presidente al presenciar la ceremonia de entrega de sables y juramentos. El discurso enfatiza el significado simbólico del juramento y el compromiso de servicio a la nación, lo que indica una valoración cognitiva de la importancia del acto más que una manifestación física evidente. Por lo tanto, la dominancia se clasifica como cognoscitiva.",Alta,"El discurso describe una ceremonia formal de entrega de sables y juramentos con un tono solemne, resaltando el compromiso de una vida entera de servicio a la nación. El uso de expresiones como ""tomará juramento de fidelidad"" y la referencia a un compromiso permanente indican una emoción intensamente expresada y reverente, típica de la solemnidad en contextos ceremoniales. Por lo tanto, la intensidad de la emoción identificada se infiere como alta.",ceremonia de entrega de sables y juramentos,situacion,"La solemnidad se desencadena al presenciar la ceremonia formal de entrega de sables y juramentos, un evento que conlleva rituales y simbolismo que evocan respeto y solemnidad."
euforico,"La emoción de determinación expresada en el discurso implica un impulso positivo y resolutivo, caracterizado por entusiasmo y firmeza para cumplir con los preceptos citados. Este tono de motivación y energía positiva se alinea con la categoría eufórica, que engloba emociones de alegría, entusiasmo o satisfacción, aunque no necesariamente de euforia extrema. No se detectan elementos negativos ni neutros que sugieran disfórico, afórico o ambifórico.",DISCURSO_048_FR_015,Presidente Javier Milei,determinación,Cognoscitiva,"La emoción de determinación se manifiesta principalmente a través de juicios, evaluaciones y la intención de que los oficiales mantengan los principios de orden, valor y gloria. En el discurso no se observan indicios de manifestaciones corporales (gestos, sensaciones físicas) que sugieran una predominancia corporal; la referencia se centra en la voluntad y el mandato mental de recordar y grabar, lo que indica una dominancia cognoscitiva.",Alta,"El discurso utiliza imperativos fuertes (“recuerden”, “graben”) y enfatiza la importancia de memorizar los preceptos, reflejando una determinación firme y clara. La combinación de verbos de acción directa y la referencia a principios fundamentales indica una emoción intensamente expresada.",mandato de recordar y grabar los preceptos consignados en los tres vitrales de este techo,situacion,"El mandato que el presidente emite para que los oficiales recuerden y graben los preceptos de orden, valor y gloria constituye una situación concreta que desencadena su determinación de que los oficiales mantengan esos principios."
euforico,"La emoción de esperanza expresada en el discurso es positiva y motivadora, lo que la clasifica como eufórica según la tonalidad afectiva.",DISCURSO_048_FR_015,Presidente Javier Milei,esperanza,Cognoscitiva,"La emoción de esperanza se manifiesta principalmente a través de la instrucción cognitiva de recordar y grabar en la memoria los preceptos, lo que implica juicios, evaluaciones y pensamientos internos más que manifestaciones físicas.",Alta,"El presidente utiliza imperativos fuertes y una exhortación a internalizar valores, indicando una esperanza intensa de que los graduados adopten esos principios.","preceptos consignados en los tres vitrales de este techo: orden, valor y gloria",objeto,El presidente expresa esperanza al invitar a los graduados a recordar y grabar en su memoria los valores que están materialmente representados en los vitrales; la expectativa de que estos objetos inspiren la internalización futura de dichos valores es la fuente que desencadena la emoción de esperanza.
euforico,"El discurso expresa orgullo, un sentimiento positivo de satisfacción y orgullo por la tradición militar y los valores de orden, valor y gloria. La expresión de orgullo se alinea con la tonalidad afectiva eufórica, caracterizada por alegría, entusiasmo y satisfacción.",DISCURSO_048_FR_015,Presidente Javier Milei,orgullo,Cognoscitiva,"El discurso enfatiza juicios y evaluaciones sobre los valores de orden, valor y gloria, resaltando la importancia del día y la tradición militar. No se mencionan manifestaciones físicas o sensaciones corporales, por lo que la emoción de orgullo se manifiesta principalmente en el ámbito cognitivo.",Alta,"El discurso utiliza un lenguaje imperativo y evocador (“recuerden bien este día”, “graben en su memoria”) junto con la exaltación de valores fundamentales (“orden, valor y gloria”). La combinación de un llamado a la acción, la referencia a la tradición militar y la expresión de orgullo por la identidad y la historia sugiere una manifestación de la emoción de orgullo con alta intensidad.",el día,situacion,"El discurso invita a recordar bien este día, lo que constituye una situación concreta que provoca orgullo en el presidente al conmemorar la importancia de los valores de orden, valor y gloria."
