foria,foria_justificacion,recorte_id,experienciador,tipo_emocion,dominancia,dominancia_justificacion,intensidad,intensidad_justificacion,fuente,tipo_fuente,fuente_justificacion
euforico,"La emoción identificada es orgullo, la cual se caracteriza por una sensación de satisfacción y logro. Este sentimiento positivo y de entusiasmo se alinea con la definición de eufórico, ya que implica alegría y satisfacción ante la acción de reconciliar las fuerzas armadas con la política.",DISCURSO_048_FR_024,Presidente Javier Milei,orgullo,Cognoscitiva,"El sentimiento de orgullo se manifiesta principalmente a través de juicios y evaluaciones internas sobre la acción de reconciliar las fuerzas armadas con la política. No se observan indicios de manifestaciones físicas o gestos que sugieran una dominancia corporal; la emoción se centra en la valoración positiva y el reconocimiento de un logro, lo que indica una dominancia cognoscitiva.",Baja,"El enunciado es una declaración directa y sin adverbios o intensificadores que aumenten la fuerza emocional. La expresión de orgullo se presenta de manera moderada, simplemente afirmando una acción positiva sin enfatizarla de forma exagerada, lo que sugiere una intensidad baja.",reconciliación de las fuerzas armadas con la política,situacion,"El sentimiento de orgullo se origina en la acción de reconciliar las fuerzas armadas con la política, un evento positivo que el presidente percibe como logro y avance."
euforico,"La emoción de satisfacción se interpreta como positiva, por lo que se clasifica como eufórico.",DISCURSO_048_FR_024,Presidente Javier Milei,satisfacción,Cognoscitiva,"La frase expresa una valoración positiva y una percepción de logro por parte del presidente, lo que indica que la emoción de satisfacción se manifiesta principalmente a través de juicios y evaluaciones cognitivas, sin indicios de manifestaciones corporales explícitas en el contexto proporcionado.",Neutra/Ambivalente,"El discurso no contiene adverbios, adjetivos ni verbos que intensifiquen la emoción de satisfacción; la frase simplemente indica un proceso de reconciliación sin expresiones de júbilo extremo o de descontento. En ausencia de señales de intensidad, se infiere una emoción de satisfacción de carácter neutro o ambivalente.",el proceso de reconciliación de las fuerzas armadas con la política,situacion,"La satisfacción del presidente surge del hecho de que se está llevando a cabo la reconciliación entre las fuerzas armadas y la política, una situación que se percibe como positiva y satisfactoria."
Eufórico,"El discurso expresa una confianza positiva y de seguridad en la capacidad del gobierno para cumplir con sus promesas, lo que se interpreta como una tonalidad afectiva de satisfacción y entusiasmo, característicos de la categoría eufórica.",DISCURSO_048_FR_025,Presidente Javier Milei,confianza,Cognoscitiva,"El discurso expresa una evaluación de confianza en la capacidad del gobierno para apoyar y jerarquizar las fuerzas, lo que implica un juicio y una creencia interna. No se mencionan manifestaciones físicas ni sensaciones corporales, por lo que la dominancia se ubica en el dominio cognoscitivo.",Alta,"El enunciador utiliza verbos de compromiso y afirmación (“haciendo todo lo que esté a su alcance”, “los acompañará”) y expresa una convicción firme sobre la capacidad del gobierno para respaldar y jerarquizar las fuerzas. La expresión de confianza es directa y contundente, lo que indica una intensidad alta de la emoción.",el gobierno,actor,"El presidente expresa confianza en la capacidad del gobierno para acompañar y jerarquizar las fuerzas, lo que genera la emoción de confianza."
Eufórico,"La expresión ""hará todo lo que esté a su alcance"" refleja una actitud decidida y comprometida, caracterizada por entusiasmo y una fuerte voluntad de lograr objetivos. Este tono positivo y de energía activa se alinea con la definición de eufórico, que engloba emociones de alegría, entusiasmo o satisfacción. En ausencia de indicios de malestar o neutralidad, la determinación se interpreta como una manifestación de eufórico.",DISCURSO_048_FR_025,Presidente Javier Milei,determinación,cognoscitiva,"La frase ""hará todo lo que esté a su alcance"" refleja una actitud de compromiso y decisión basada en juicios y planes futuros, sin indicios de manifestaciones físicas o sensaciones corporales. Por lo tanto, la dominancia de la emoción de determinación se interpreta como cognoscitiva.",Alta,"La frase ""hará todo lo que esté a su alcance"" expresa un compromiso firme y decidido, caracterizando una actitud de determinación intensa. El uso de la expresión completa y la promesa de acción total refuerzan la fuerza del sentimiento, lo que indica una intensidad alta en el contexto del discurso político.",el gobierno,actor,"La frase destaca que el gobierno acompañará y hará todo lo posible para jerarquizar las tres fuerzas, lo que constituye una promesa concreta y activa que impulsa la actitud de determinación del hablante."
Eufórico,"El discurso expresa una visión positiva y optimista sobre el futuro de la nueva camada de egresados, resaltando la presencia de un gobierno que los acompañará y hará todo lo posible para jerarquizar las fuerzas. El tono está cargado de esperanza, entusiasmo y confianza en un resultado favorable, lo que corresponde a la categoría eufórica según la ontología y las heurísticas de tonalidad afectiva.",DISCURSO_048_FR_025,Presidente Javier Milei,esperanza,Cognoscitiva,"El discurso expresa una expectativa positiva sobre el futuro y una valoración favorable de las acciones que el gobierno realizará, lo que indica una evaluación mental y una proyección de resultados esperanzadores. No se mencionan sensaciones físicas ni gestos corporales, por lo que la emoción de esperanza se manifiesta principalmente en el dominio cognitivo.",Alta,"El discurso expresa una expectativa positiva y optimista sobre el futuro de la nueva camada de egresados, resaltando la inmediatez de un apoyo gubernamental y la posibilidad de experimentar algo inédito. El uso de expresiones como ""será testigo de algo inédito"" y ""contarán con un gobierno que los acompañará y hará todo lo que esté a su alcance"" indica una emoción de esperanza con fuerza y convicción, lo que sugiere una intensidad alta.",el gobierno,actor,"El presidente Milei expresa esperanza al afirmar que los egresados contarán con un gobierno que los acompañará y hará todo lo posible, lo que constituye la fuente de la emoción."
Eufórico,"El discurso expresa una actitud optimista y de apoyo, con afirmaciones de que el gobierno acompañará y hará todo lo posible para respaldar a los egresados. El tono es positivo, esperanzador y entusiasta, lo que corresponde a la categoría eufórica según la ontología y las heurísticas de tonalidad afectiva.",DISCURSO_048_FR_025,Presidente Javier Milei,optimismo,Cognoscitiva,"El discurso expresa optimismo a través de juicios y expectativas positivas sobre el futuro: se habla de un gobierno que acompañará y hará todo lo posible para apoyar a los egresados, resaltando la idea de un resultado favorable y de honrar un legado. No se mencionan manifestaciones físicas ni sensaciones corporales, por lo que la emoción se manifiesta principalmente en la evaluación cognitiva de la situación.",Alta,"El discurso expresa un compromiso firme y positivo, con frases como ""hará todo lo que esté a su alcance"" y ""los acompañará"", que indican una actitud optimista y proactiva. La promesa de apoyo y la valoración del legado refuerzan la intensidad de la emoción, llevándola a un nivel alto.",el gobierno,actor,"El optimismo surge de la promesa de que el gobierno acompañará a los egresados y hará todo lo posible para jerarquizar las tres fuerzas, generando una expectativa positiva y de apoyo."
euforico,"El discurso expresa orgullo y satisfacción al honrar el legado de Roca y San Martín, lo que indica una tonalidad afectiva positiva y entusiasta, característica de la emoción eufórica.",DISCURSO_048_FR_025,Presidente Javier Milei,orgullo,Cognoscitiva,"El orgullo se expresa principalmente mediante juicios y evaluaciones sobre el legado militar (""honrando el legado que nos dejaron Roca y San Martín""), sin indicios de manifestaciones corporales explícitas, lo que indica una dominancia cognoscitiva.",Neutra/Ambivalente,"El discurso expresa orgullo al honrar el legado de Roca y San Martín, pero lo hace de manera moderada y sin un tono excesivamente exaltado. No se utilizan adjetivos o verbos que intensifiquen la emoción de forma extrema, por lo que la intensidad se percibe como neutra o ambivalente.",el legado de Roca y San Martín,experiencia,"El orgullo se desencadena al hacer referencia al legado histórico de Roca y San Martín, una memoria colectiva y experiencia nacional que el orador celebra y honra."
Disfórico,"El enunciador expresa preocupación por los desafíos que atraviesa la patria, lo cual indica un tono negativo de malestar y preocupación, característico de una emoción disfórica.",DISCURSO_048_FR_026,Presidente Javier Milei,concern,Cognoscitiva,"El discurso expresa preocupación mediante juicios y evaluaciones sobre los desafíos que enfrenta la patria, indicando la necesidad de preparación y responsabilidad. No se mencionan manifestaciones físicas ni sensaciones corporales, por lo que la dominancia de la emoción es cognoscitiva.",Baja,"El enunciado expresa preocupación por los desafíos de la patria, pero sin intensificadores ni lenguaje emocional fuerte; la expresión es más informativa que apasionada, lo que indica una intensidad baja.",los desafíos que atraviesa nuestra patria,situacion,"El sentimiento de preocupación se origina en la situación de los desafíos que enfrenta la patria, una circunstancia externa que provoca la emoción."
Afórico,"La emoción identificada es determinación, la cual se expresa como un impulso positivo de acción y responsabilidad sin connotaciones de alegría extrema ni de malestar. En el discurso se enfatiza la necesidad de coraje, decisión y responsabilidad, lo que indica un tono neutro en cuanto a polaridad emocional, por lo que se clasifica como afórico.",DISCURSO_048_FR_026,Presidente Javier Milei,determination,Cognoscitiva,"El discurso enfatiza la necesidad de decisiones, coraje y responsabilidad, lo que refleja un proceso cognitivo de evaluación y compromiso. No se mencionan manifestaciones físicas, por lo que la dominancia de la emoción de determinación se interpreta como cognoscitiva.",Alta,"El discurso utiliza verbos fuertes y imperativos como ""exigirá"", ""exigen"" y ""demandan"", junto con la exhortación a actuar con ""coraje, decisión y responsabilidad"", lo que indica una expresión de determinación intensa y un llamado urgente a la acción.",los desafíos que atraviesa nuestra patria,situacion,"Los desafíos externos que enfrenta la nación son la circunstancia que impulsa la determinación del presidente, generando la necesidad de prepararse y actuar con coraje, decisión y responsabilidad."
euforico,"El enunciador expresa orgullo por la historia y la identidad nacional, lo que indica una emoción positiva y de satisfacción, por lo tanto es eufórica.",DISCURSO_048_FR_027,Presidente Javier Milei,orgullo,Cognoscitiva,"El enunciador expresa orgullo al recordar la batalla de Caseros, un hito histórico argentino, lo que implica una valoración cognitiva de la identidad nacional y la historia, sin indicios de manifestaciones corporales explícitas.",Baja,"El enunciado menciona la batalla de Caseros como motivo de presencia, lo que indica orgullo, pero no utiliza adverbios, verbos ni expresiones exclamativas que intensifiquen la emoción. Por lo tanto, la intensidad se infiere como baja.",la batalla de Caseros,situacion,"El presidente menciona la batalla de Caseros, un hito histórico argentino, lo que genera orgullo por la historia y la identidad nacional."
Afórico,"El respeto se caracteriza por una valoración positiva sin la intensidad de alegría o entusiasmo, por lo que se clasifica como afórico.",DISCURSO_048_FR_027,Presidente Javier Milei,respet,Cognoscitiva,"El sentimiento de respeto se manifiesta principalmente a través de juicios y evaluaciones verbales (la referencia a la batalla de Caseros como lugar de conmemoración), sin indicios de manifestaciones corporales o gestos. Por lo tanto, la dominancia de la emoción identificada es cognoscitiva.",Baja,"El enunciado muestra respeto sin usar adjetivos o verbos intensos; la expresión es formal y moderada, indicando una emoción leve.",batalla de Caseros,situacion,"El sentimiento de respeto se origina al referirse a la batalla de Caseros, un evento histórico significativo, y a sus protagonistas, lo que constituye una situación que provoca la emoción."
euforico,"La frase ""prevalecer contra la tiranía rosista"" expresa una firme intención y voluntad de vencer, lo que refleja un tono positivo de entusiasmo y determinación. Este carácter positivo se alinea con la categoría eufórica, que engloba emociones de alegría, entusiasmo o satisfacción, aunque en este caso la emoción sea la determinación activa de superar una adversidad.",DISCURSO_048_FR_028,Presidente Javier Milei,determinación,cognoscitiva,"La frase expresa una firme intención y voluntad de vencer, reflejando juicios y evaluaciones de la situación (prevalecer contra la tiranía rosista). Aunque implica acción, la predominancia se centra en el aspecto cognitivo de la determinación, es decir, la decisión y el compromiso mental del orador.",Alta,"La frase emplea verbos de acción contundentes como ""prevalecer"" y un llamado directo a la acción frente a la ""tiranía rosista"", lo que indica una intención firme y activa. El contexto político y la referencia a un ""llamado histórico"" refuerzan la fuerza del mensaje, caracterizando una determinación con alta intensidad.",tiranía rosista,situacion,"La determinación del orador se desencadena por la presencia de la ""tiranía rosista"", una situación adversa que exige superar y prevalecer, motivando así la firme intención expresada."
Disfórico,"La indignación es una emoción negativa que expresa descontento, enojo y rechazo ante una injusticia. En el discurso se critica la ""tiranía rosista"", lo que indica un tono de malestar y desagrado, característico de la polaridad disfórica.",DISCURSO_048_FR_028,Presidente Javier Milei,indignación,cognoscitiva,"La indignación expresada por el presidente se fundamenta en juicios y evaluaciones sobre la injusticia de la ""tiranía rosista"", sin indicios de manifestaciones corporales o sensaciones físicas. Por lo tanto, la dominancia de la emoción es cognoscitiva.",Alta,"El discurso emplea un lenguaje fuerte y directo al referirse a la ""tiranía rosista"", una acusación explícita y cargada de moralidad. La frase invita a los camaradas a responder a un llamado histórico y a prevalecer contra dicha tiranía, lo que implica una postura crítica y de rechazo contundente. La combinación de la acusación de tiranía con la exhortación a la acción sugiere una indignación intensa y no simplemente leve o ambivalente.",tiranía rosista,actor,"El enunciador expresa indignación al referirse a la ""tiranía rosista"", señalando la acción de un grupo político (los Rosistas) como causa de la injusticia."
euforico,"El enunciador expresa orgullo y satisfacción por la misión cumplida, lo que indica un tono positivo y alegre, característico de una emoción eufórica.",DISCURSO_048_FR_028,Presidente Javier Milei,orgullo,Cognoscitiva,"El discurso enfatiza la valoración mental de la actuación de los camaradas, al referirse a un ""llamado histórico"" y a la necesidad de ""estar a la altura"" y ""prevalecer"". Estas expresiones reflejan juicios de mérito y logro, típicos de la dominancia cognoscitiva, más que manifestaciones físicas explícitas.",Alta,"El enunciador utiliza expresiones como ""llamado histórico"" y la exhortación a ""prevalecer contra la tiranía rosista"", lo que indica un orgullo fuerte y enfático por la misión y la capacidad de los oficiales. La carga retórica y la referencia a la altura de la tarea sugieren una emoción intensamente expresada, por lo que se clasifica como alta.",llamado histórico,situacion,"El orgullo se origina en la situación del llamado histórico y la necesidad de prevalecer contra la tiranía rosista, lo que genera un sentimiento de orgullo por la misión y la capacidad de los oficiales."
Eufórico,"El discurso expresa un deseo positivo y motivador de que la memoria inspire a los graduados a dar lo mejor de sí, lo cual refleja una tonalidad de esperanza y entusiasmo, característicos de una emoción eufórica.",DISCURSO_048_FR_029,Presidente Javier Milei,esperanza,Cognoscitiva,"El discurso expresa una expectativa positiva y una valoración motivacional: ""motive a dar lo mejor"" y la idea de que la memoria sea un modelo a seguir. Estas expresiones reflejan juicios y evaluaciones mentales sobre el futuro, sin indicios de manifestaciones físicas o sensaciones corporales. Por lo tanto, la dominancia de la emoción de esperanza se interpreta como cognoscitiva.",Baja,"El enunciado expresa una esperanza motivacional, pero sin adverbios ni intensificadores que indiquen una emoción fuerte. Se trata de un deseo moderado de que la memoria inspire a los graduados, lo que sugiere una intensidad baja según la heurística de que las expresiones de esperanza suelen ser leves o moderadas cuando no se acompañan de un lenguaje muy emotivo.",la memoria de la persona fallecida,experiencia,El enunciador expresa esperanza de que la memoria de la persona fallecida motive a los graduados; la memoria es un recuerdo previo que actúa como fuente de la emoción.
Eufórico,"El enunciador expresa confianza, una emoción positiva que se manifiesta con entusiasmo y satisfacción al afirmar que la nación cuenta con los oficiales egresados, indicando una valoración favorable y una expectativa de buen desempeño.",DISCURSO_048_FR_030,Presidente Javier Milei,confianza,Cognoscitiva,"El enunciado expresa una valoración positiva y una expectativa de desempeño de los oficiales egresados, lo que indica un juicio de confianza y creencia en su capacidad. No se mencionan manifestaciones físicas ni gestos, por lo que la emoción se manifiesta principalmente a nivel cognitivo.",Neutra/Ambivalente,"El enunciado expresa confianza en los oficiales egresados, pero lo hace de manera formal y directa sin recurrir a adjetivos o expresiones que intensifiquen la emoción. La frase transmite una valoración positiva y una expectativa de desempeño, pero sin un tono apasionado o exaltado, lo que sugiere una intensidad neutra o ambivalente.",la nación,actor,"El presidente expresa confianza al afirmar que la nación cuenta con los oficiales egresados, lo que indica que la confianza se origina en la expectativa y el respaldo de la nación hacia ellos."
aforico,"La emoción de confianza es positiva pero no implica alegría o entusiasmo explícito; se caracteriza por una postura neutral de seguridad, por lo que se clasifica como afórico según la ontología.",DISCURSO_048_FR_031,Presidente Javier Milei,confianza,Cognoscitiva,"El enunciado expresa una evaluación de confianza en la capacidad de la nación, basada en juicios de seguridad y respaldo. No se menciona manifestación física ni gestos, por lo que la emoción se manifiesta principalmente en el dominio cognitivo.",neutra_ambivalente,"El enunciado ""ustedes pueden contar con la nación"" expresa confianza de manera directa y sin adverbios o intensificadores que aumenten su fuerza. No hay elementos lingüísticos que sugieran una emoción intensamente expresada, por lo que la intensidad se considera neutra o ambivalente.",la nación,actor,"El presidente expresa confianza al afirmar que los oyentes pueden contar con la nación, lo que indica que la nación, como grupo colectivo, es la entidad que provoca la emoción de confianza."
euforico,"La mención expresa admiración, una emoción positiva que implica respeto y satisfacción hacia las fuerzas armadas. Dado que la admiración se asocia con un tono afectivo positivo y de reconocimiento, se clasifica como eufórico según la ontología de foria.",DISCURSO_048_FR_032,Presidente Javier Milei,admiración,Cognoscitiva,"El discurso expresa admiración mediante reconocimiento y valoración de la labor de las fuerzas armadas, sin indicios de manifestaciones físicas o sensaciones corporales, lo que indica una dominancia cognoscitiva.",Alta,"El discurso incluye una ""especial mención"" a los hombres y mujeres de las fuerzas armadas, lo que indica un reconocimiento destacado y un sentimiento de admiración fuerte. La elección de palabras y el tono formal refuerzan la intensidad de la emoción expresada.",hombres y mujeres de nuestras fuerzas armadas,actor,La admiración se dirige a los miembros de las fuerzas armadas por su contribución a la formación de nuevos oficiales.
Eufórico,"El enunciador expresa gratitud hacia las fuerzas armadas, lo que implica una emoción positiva y de agradecimiento, caracterizada por tono de satisfacción y reconocimiento. Dado que la gratitud se manifiesta como una valoración positiva y de aprecio, se clasifica dentro del carácter fórico eufórico.",DISCURSO_048_FR_032,Presidente Javier Milei,gratitud,Cognoscitiva,"El discurso expresa gratitud mediante un reconocimiento verbal y una valoración de la contribución de las fuerzas armadas. No se menciona ninguna manifestación física, gesto o sensación corporal; la emoción se basa en juicios y evaluaciones (aprecio, reconocimiento), lo que indica una dominancia cognoscitiva.",Neutra/Ambivalente,"El enunciador expresa gratitud mediante una mención formal y específica a las fuerzas armadas, sin usar adverbios intensificadores ni un tono emocional elevado. La expresión es cortés y respetuosa, típica de discursos oficiales, lo que sugiere una gratitud presente pero de intensidad moderada o neutra.",hombres y mujeres de nuestras fuerzas armadas,actor,"El discurso expresa gratitud hacia las fuerzas armadas por su contribución a la formación de nuevos oficiales, lo que indica que la fuente de la emoción es el grupo de personas que realizaron esa acción."
euforico,"El discurso expresa orgullo y satisfacción al reconocer la contribución de las fuerzas armadas a la formación de nuevos oficiales, lo cual refleja un tono positivo y alegre característico de una emoción eufórica.",DISCURSO_048_FR_032,Presidente Javier Milei,orgullo,Cognoscitiva,"El discurso expresa orgullo a través de la valoración y reconocimiento de la contribución de las fuerzas armadas a la formación de nuevos oficiales. No se mencionan manifestaciones físicas ni sensaciones corporales, sino un juicio evaluativo y un sentimiento de logro y reconocimiento, lo que indica una dominancia cognoscitiva de la emoción.",Alta,"El enunciador utiliza una mención especial y destaca la contribución de las fuerzas armadas a la formación de nuevos oficiales, lo que indica un orgullo fuerte y enfático.",los hombres y mujeres de nuestras fuerzas armadas que contribuyeron a la formación de nuestros nuevos oficiales,actor,"El orgullo se desencadena al reconocer la contribución de las fuerzas armadas en la formación de nuevos oficiales, lo que representa un logro y un reconocimiento de su labor."
euforico,"La frase expresa un reconocimiento positivo y de gratitud hacia las fuerzas armadas, lo que indica una tonalidad afectiva positiva. Aunque no se manifiesta explícitamente alegría o entusiasmo, la emoción de respeto se interpreta como una forma de satisfacción y valoración positiva, por lo que se clasifica dentro del rango eufórico según las heurísticas disponibles.",DISCURSO_048_FR_032,Presidente Javier Milei,respeto,Cognoscitiva,"El sentimiento de respeto se manifiesta principalmente a través de juicios y evaluaciones verbales, como la mención y reconocimiento de la labor de las fuerzas armadas. No se describen manifestaciones físicas ni gestos corporales, por lo que la dominancia se ubica en el dominio cognoscitivo.",Baja,"La frase reconoce la labor de los hombres y mujeres de las fuerzas armadas con un tono formal y respetuoso, sin usar adjetivos o adverbios que intensifiquen la emoción. Por lo tanto, la intensidad de respeto se interpreta como baja.",hombres y mujeres de nuestras fuerzas armadas,actor,"La frase reconoce la labor de los hombres y mujeres de las fuerzas armadas, lo que provoca respeto hacia ellos."
Eufórico,"La expresión ""espero que los graduados los hagan sentir orgullosos"" refleja una expectativa positiva y optimista sobre un resultado futuro, característica típica de la emoción de esperanza. Dado que la esperanza se asocia con un tono afectivo positivo y de anticipación favorable, se clasifica como eufórica según la ontología y las heurísticas proporcionadas.",DISCURSO_048_FR_034,Presidente Javier Milei,esperanza,cognoscitiva,"El enunciado expresa un deseo futuro y una expectativa positiva sobre el resultado de los graduados, sin mencionar sensaciones físicas ni gestos. La emoción de esperanza se manifiesta principalmente a través de juicios y evaluaciones mentales sobre un posible futuro favorable, lo que indica una dominancia cognoscitiva.",Baja,"El enunciado expresa una esperanza de manera sencilla y sin intensificadores ni adverbios que aumenten la fuerza emocional. La frase ""espero que los graduados los hagan sentir orgullosos"" indica un deseo positivo, pero su tono es moderado y no muestra una expresión intensa de la emoción.",los graduados,actor,"La esperanza de Javier Milei se origina en la expectativa de que los graduados, como actores externos, lo hagan sentir orgulloso en el futuro."
euforico,"El enunciador expresa agradecimiento, una emoción positiva y de satisfacción, lo que indica un carácter eufórico.",DISCURSO_048_FR_035,Presidente Javier Milei,gratitud,cognoscitiva,"La expresión de gratitud se manifiesta a través de un reconocimiento verbal y una valoración positiva del apoyo recibido, sin indicios de manifestaciones físicas o gestos. Por lo tanto, la emoción predominante se basa en juicios y evaluaciones cognitivas.",Baja,"El enunciado expresa gratitud de manera formal y cortés, sin adverbios o verbos que intensifiquen la emoción (por ejemplo, ""inmensamente"", ""profundamente""). La palabra ""especialmente"" añade un ligero énfasis, pero no eleva la emoción a un nivel alto. En el contexto de un discurso presidencial, la expresión de agradecimiento suele ser respetuosa y moderada, lo que sugiere una intensidad baja.",familiares de nuestros oficiales,actor,"El presidente expresa su gratitud hacia los familiares de los oficiales por su acompañamiento y apoyo permanente, lo que indica que la fuente de la emoción es el grupo de personas (los familiares) que brindan dicho apoyo."
Eufórico,"El enunciador expresa un deseo de felicidad para los oyentes, lo que refleja una emoción positiva y de satisfacción. La expresión ""les deseo que tengan una feliz navidad"" indica alegría y entusiasmo, características típicas de una emoción eufórica.",DISCURSO_048_FR_036,Presidente Javier Milei,felicidad,Cognoscitiva,"El enunciado expresa un deseo positivo y una evaluación favorable (una feliz navidad y planes grandes), sin indicios de manifestaciones físicas o sensaciones corporales. La emoción de felicidad se presenta principalmente a través de juicios y pensamientos positivos, lo que indica una dominancia cognoscitiva.",Baja,"El discurso contiene una expresión de deseo de felicidad (“feliz navidad”) y una invitación a planificar en grande, pero sin adverbios intensificadores, exclamaciones o tono apasionado. Se trata de un saludo cordial y estándar, por lo que la intensidad de la emoción de felicidad se interpreta como baja.",la Navidad,situacion,"El sentimiento de felicidad del presidente se desencadena por la situación de la temporada navideña, un contexto que suele generar alegría y buenos deseos."
Eufórico,"El discurso expresa un deseo de felicidad y alienta a planificar en grande para el próximo año, lo que refleja entusiasmo y satisfacción con el futuro, características típicas de una emoción eufórica.",DISCURSO_048_FR_036,Presidente Javier Milei,optimismo,Cognoscitiva,"El discurso expresa una expectativa positiva y una invitación a planificar en grande para el próximo año, lo que indica una evaluación mental y una valoración futura favorable. No se mencionan manifestaciones físicas ni gestos, por lo que la emoción se manifiesta principalmente a nivel cognitivo.",Alta,"El discurso expresa un optimismo fuerte y directo al desear una ""feliz navidad"" y al invitar a ""planificar en grande"" para el próximo año. El uso de expresiones amplificadoras como ""en grande"" y la ausencia de matices negativos indican una emoción intensamente positiva y esperanzadora.",el próximo año,situacion,"La emoción de optimismo se desencadena por la perspectiva de planificar en grande para el próximo año, lo que representa una situación futura con oportunidades y expectativas positivas."
Afórico,"La emoción de confianza se caracteriza por una actitud positiva y de seguridad, pero no implica necesariamente alegría o entusiasmo extremo; por lo tanto, se clasifica como afórica, neutra en cuanto a polaridad emocional.",DISCURSO_048_FR_037,Presidente Javier Milei,confianza,Cognoscitiva,"La emoción de confianza se manifiesta principalmente a través de juicios y evaluaciones internas, como la creencia en la intervención divina y la expectativa de que las fuerzas del cielo acompañen. No se describen manifestaciones físicas o gestos que indiquen una predominancia corporal, por lo que la dominancia se clasifica como cognoscitiva.",Alta,"El discurso expresa una confianza explícita y fuerte al invocar a las fuerzas del cielo como acompañantes, lo que indica una emoción de confianza intensamente manifestada.",fuerzas del cielo,actor,"La confianza se origina en la petición de que las fuerzas del cielo nos acompañen, lo que implica una fe en la intervención divina, considerada como un actor que provoca la emoción."
Eufórico,"El enunciado expresa una esperanza positiva de bendición divina y acompañamiento celestial, lo que indica un tono afórico positivo. Por lo tanto, la emoción de esperanza se clasifica como eufórica.",DISCURSO_048_FR_037,Presidente Javier Milei,esperanza,cognoscitiva,"La expresión de esperanza se manifiesta a través de un deseo verbal y una expectativa mental sobre la bendición divina y la presencia de fuerzas celestiales. No se describen sensaciones físicas ni gestos corporales asociados, por lo que la emoción se basa principalmente en juicios y pensamientos, lo que indica una dominancia cognoscitiva.",Alta,"El enunciador expresa un deseo fuerte y explícito de que Dios bendiga a los presentes y a todos los argentinos, acompañándolo con la frase ""las fuerzas del cielo nos acompañen"", lo cual indica una esperanza intensa y vigorosa en la realización de esa bendición.",Dios,actor,"El sentimiento de esperanza se origina en la expectativa de que Dios bendiga a los presentes y a los argentinos, por lo que la fuente de la emoción es la entidad divina que se menciona como agente de la bendición."
euforico,"El discurso expresa alegría y celebración, con expresiones de felicitación y entusiasmo, lo que indica una emoción de tono positivo y satisfacción.",DISCURSO_048_FR_038,Presidente Javier Milei,felicidad,cognoscitiva,"El discurso expresa alegría y celebración a través de palabras como ""felicidades a todos"" y ""¡viva la patria!"", sin mencionar manifestaciones físicas o sensaciones corporales. Por lo tanto, la dominancia de la emoción identificada (felicidad) se basa principalmente en juicios y evaluaciones cognitivas.",Alta,"El discurso incluye exclamaciones y palabras de celebración como ""felicidades a todos"" y ""¡viva la patria!"", indicando una expresión de alegría intensa y entusiasmo.",la elección presidencial,situacion,"El discurso celebra el resultado de la elección, generando alegría y celebración."
euforico,"El enunciador expresa agradecimiento explícito con ""muchas gracias"", acompañado de felicitaciones y un llamado a la patria, lo cual refleja alegría, entusiasmo y satisfacción. Estas expresiones de gratitud y celebración corresponden a un tono afectivo positivo, por lo que la emoción se clasifica como eufórica.",DISCURSO_048_FR_038,Presidente Javier Milei,gratitud,cognoscitiva,"El enunciador expresa ""muchas gracias"", una manifestación explícita de gratitud que se basa en juicios y evaluaciones de agradecimiento hacia el público, sin indicios de manifestaciones físicas o sensaciones corporales. Por lo tanto, la dominancia de la emoción identificada es cognoscitiva.",Alta,"El enunciador utiliza ""muchas gracias"", un adverbio de intensidad que amplifica la gratitud, junto con exclamaciones y un tono celebratorio, lo que indica una expresión fuerte y apasionada de gratitud.",el público,actor,"El presidente Milei expresa ""muchas gracias"" como una manifestación explícita de gratitud dirigida al público presente, por lo que el público es la entidad concreta que desencadena la emoción."
Eufórico,"El sentimiento de orgullo expresado en la frase ""¡viva la patria!"" se manifiesta como entusiasmo y alegría patriótica, lo cual corresponde a la tonalidad positiva y de satisfacción caracterizada por la categoría eufórica.",DISCURSO_048_FR_038,Presidente Javier Milei,orgullo,Cognoscitiva,"El discurso expresa un juicio positivo y una evaluación de la patria con la exclamación '¡viva la patria!', sin indicios de manifestaciones corporales, por lo que la dominancia se interpreta como cognoscitiva.",Alta,"El uso de la exclamación ""¡viva la patria!"" junto con la expresión de agradecimiento y felicitaciones en un discurso presidencial indica una manifestación fuerte y entusiasta de orgullo patriótico. La entonación y el contexto político refuerzan la intensidad de la emoción, lo que sugiere una intensidad alta.",la patria,espacio,"La exclamación ""¡viva la patria!"" expresa un sentimiento de orgullo y entusiasmo patriótico, indicando que la fuente de la emoción es la propia patria (el país) que el hablante celebra."
