fuente,tipo_fuente,justificacion,recorte_id,experienciador,tipo_emocion
secuestro ilegal de Nahuel Gallo en Venezuela,situacion,"El expresidente Javier Milei muestra indignación al referirse al secuestro ilegal de Nahuel Gallo, un evento externo que constituye la causa directa de su emoción.",DISCURSO_048_FR_002,Presidente Javier Milei,indignación
detención de la pareja y el hijo por las fuerzas de seguridad a cargo de Nicolás Maduro,situacion,"La indignación del presidente Milei se desencadena por el evento concreto de la detención, considerado injusto y trivial, que constituye una situación que provoca la emoción.",DISCURSO_048_FR_003,Presidente Javier Milei,indignación
dictador criminal Nicolás Maduro,actor,"El sentimiento de desprecio se origina en la referencia negativa a Nicolás Maduro como ""dictador criminal"" y la trivialidad del delito que lo llevó a ser detenido, lo que provoca una actitud de desprecio hacia él y su régimen.",DISCURSO_048_FR_003,Presidente Javier Milei,contempto
secuestro,situacion,"La indignación surge al denunciar el secuestro, un evento que implica la violación de derechos y la acción del régimen.",DISCURSO_048_FR_004,Presidente Javier Milei,indignación
la detención de la persona,situacion,"La determinación del presidente surge como respuesta directa a la situación de detención de la persona, lo que motiva la exigencia de su liberación inmediata y el uso de vías diplomáticas.",DISCURSO_048_FR_004,Presidente Javier Milei,determinación
vías diplomáticas para devolverlo sano y salvo a la argentina,situacion,"La esperanza surge de la expectativa de que las vías diplomáticas llevarán a la liberación y retorno seguro del individuo, constituyendo una situación externa que genera la emoción.",DISCURSO_048_FR_004,Presidente Javier Milei,esperanza
"la situación de estar en el evento con el ministro de defensa, los jefes del estado mayor, el poder ejecutivo y los nuevos egresados de las fuerzas armadas",situacion,"El deseo de saludar surge del contexto de la reunión formal donde están presentes el ministro de defensa, los jefes del estado mayor, el poder ejecutivo y los nuevos egresados, lo que constituye la situación que desencadena la emoción.",DISCURSO_048_FR_005,Presidente Javier Milei,deseo
todos aquellos que han venido a acompañarlos,actor,"El agradecimiento del presidente se dirige a las personas que asistieron y acompañaron la jornada, por lo que la fuente de la emoción es el grupo de asistentes, clasificado como actor según la ontología.",DISCURSO_048_FR_006,Presidente Javier Milei,gratitud
los asistentes que han venido a acompañarlos,actor,El reconocimiento de la presencia y apoyo de los asistentes genera una sensación de aprecio en el presidente.,DISCURSO_048_FR_006,Presidente Javier Milei,aprecio
la jornada,situacion,"El orgullo se origina en la valoración positiva de la jornada como inolvidable y en la presencia de los asistentes, lo que constituye una situación que provoca la emoción.",DISCURSO_048_FR_006,Presidente Javier Milei,orgullo
la ceremonia de egreso conjunto,situacion,El acto de participar en la ceremonia de egreso conjunto constituye un evento formal y significativo que genera el sentimiento de honor en el presidente.,DISCURSO_048_FR_007,Presidente Javier Milei,honor
la finalización de la formación básica para el servicio a la patria,situacion,"El presidente expresa felicidad al reconocer que los graduados han concluido la formación básica que eligieron, lo cual constituye un evento que desencadena la emoción.",DISCURSO_048_FR_009,Presidente Javier Milei,felicidad
la finalización de la formación básica para el servicio a la patria por parte de los graduados,situacion,"El orgullo se desencadena por el logro concreto de los graduados al completar la formación básica, un evento significativo que el presidente reconoce y felicita.",DISCURSO_048_FR_009,Presidente Javier Milei,orgullo
el logro de los graduados al concluir una etapa de formación,situacion,"El orgullo del presidente surge al observar el evento concreto de que los graduados han terminado una etapa de su formación, lo cual constituye una situación específica que desencadena la emoción.",DISCURSO_048_FR_011,Presidente Javier Milei,orgullo
nueva etapa de aprendizaje,situacion,"El discurso menciona que termina una etapa y comienza otra donde nunca dejarán de aprender, lo que genera esperanza en los graduados.",DISCURSO_048_FR_011,Presidente Javier Milei,esperanza
los sables,objeto,"El orgullo se desencadena por la entrega de los sables, que simbolizan los máximos principios y valores de los héroes emancipadores, generando una valoración positiva y orgullo por la tradición y los graduados que recibirán el símbolo.",DISCURSO_048_FR_012,Presidente Javier Milei,orgullo
los sables,objeto,"La reverencia se desencadena por los sables, objetos simbólicos que representan los máximos principios y valores de los héroes emancipadores, evocando respeto y veneración hacia esos valores históricos.",DISCURSO_048_FR_012,Presidente Javier Milei,reverencia
los sables,objeto,"Los sables son objetos materiales que simbolizan los máximos principios y valores de los héroes emancipadores, y su entrega evoca un sentimiento de respeto hacia la institución y sus símbolos.",DISCURSO_048_FR_012,Presidente Javier Milei,respeto
la entrega de los sables,situacion,"La emoción de anticipación surge porque el presidente menciona que en instantes se realizará la entrega de los sables, un evento concreto que está próximo a ocurrir.",DISCURSO_048_FR_012,Presidente Javier Milei,anticipación
la entrega de juramentos de fidelidad a la Constitución Nacional,situacion,"El orgullo surge al presenciar la ceremonia de juramento, un evento que simboliza el compromiso y la continuidad de la institución nacional.",DISCURSO_048_FR_014,Presidente Javier Milei,orgullo
juramento de fidelidad a la constitución nacional,situacion,"El sentimiento de esperanza se origina en la promesa de un juramento que compromete a los oficiales a una vida entera de servicio a la nación, lo cual proyecta una visión positiva y esperanzadora del futuro de la nación y de los oficiales.",DISCURSO_048_FR_014,Presidente Javier Milei,esperanza
juramento de fidelidad a la constitución nacional,situacion,El acto de tomar juramento constituye un evento concreto que impulsa al presidente a manifestar determinación para asegurar la integridad constitucional y el compromiso de los oficiales con el servicio a la nación.,DISCURSO_048_FR_014,Presidente Javier Milei,determinación
ceremonia de entrega de sables y juramentos,situacion,"La solemnidad se desencadena al presenciar la ceremonia formal de entrega de sables y juramentos, un evento que conlleva rituales y simbolismo que evocan respeto y solemnidad.",DISCURSO_048_FR_014,Presidente Javier Milei,solemnidad
juramento de fidelidad a la constitución nacional,situacion,"El acto de tomar juramento ante la constitución nacional constituye una situación formal y solemne que provoca reverencia, ya que implica un compromiso profundo con la ley y la patria.",DISCURSO_048_FR_014,Presidente Javier Milei,reverencia
el día,situacion,"El discurso invita a recordar bien este día, lo que constituye una situación concreta que provoca orgullo en el presidente al conmemorar la importancia de los valores de orden, valor y gloria.",DISCURSO_048_FR_015,Presidente Javier Milei,orgullo
"preceptos consignados en los tres vitrales de este techo: orden, valor y gloria",objeto,El presidente expresa esperanza al invitar a los graduados a recordar y grabar en su memoria los valores que están materialmente representados en los vitrales; la expectativa de que estos objetos inspiren la internalización futura de dichos valores es la fuente que desencadena la emoción de esperanza.,DISCURSO_048_FR_015,Presidente Javier Milei,esperanza
mandato de recordar y grabar los preceptos consignados en los tres vitrales de este techo,situacion,"El mandato que el presidente emite para que los oficiales recuerden y graben los preceptos de orden, valor y gloria constituye una situación concreta que desencadena su determinación de que los oficiales mantengan esos principios.",DISCURSO_048_FR_015,Presidente Javier Milei,determinación
el día de la ceremonia,situacion,"El llamado a recordar bien este día muestra reverencia por la ocasión y la importancia histórica del evento, por lo que el día mismo actúa como fuente de la emoción.",DISCURSO_048_FR_015,Presidente Javier Milei,reverencia
las fuerzas armadas,actor,"El presidente Milei expresa orgullo al referirse al ejército como el norte que guía una vida de servicio a la patria, lo que indica que la fuente de su orgullo es el grupo de las fuerzas armadas.",DISCURSO_048_FR_016,Presidente Javier Milei,orgullo
la patria,espacio,"El presidente menciona explícitamente el servicio a la patria, lo que indica que la propia nación (el concepto de patria) es la fuente que provoca el sentimiento de patriotismo.",DISCURSO_048_FR_016,Presidente Javier Milei,patriotismo
el ejército,actor,"El presidente describe al ejército como el norte, lo que sugiere que la institución militar actúa como guía y motivación para la determinación de seguir esa dirección y cumplir la misión.",DISCURSO_048_FR_016,Presidente Javier Milei,determinación
los graduados,actor,"El presidente expresa su confianza en que, al seguir a los graduados, lograrán que todos los argentinos de bien se sientan orgullosos de ellos. La fuente de esa confianza es la acción futura de los graduados, quienes son los actores que producirán el resultado esperado.",DISCURSO_048_FR_017,Presidente Javier Milei,confianza
los graduados,actor,"El presidente expresa esperanza basada en la expectativa de que los graduados, al cumplir con sus responsabilidades, lograrán que los argentinos se sientan orgullosos. La fuente de la emoción es, por tanto, el grupo de graduados, quienes son los actores que desencadenan la esperanza.",DISCURSO_048_FR_017,Presidente Javier Milei,esperanza
el momento histórico que estamos atravesando como país,situacion,"El sentimiento de orgullo se desencadena al reconocer la importancia y el significado especial del momento histórico que el país está viviendo, lo cual constituye una situación externa que provoca la emoción.",DISCURSO_048_FR_018,Presidente Javier Milei,orgullo
el momento histórico que estamos atravesando como país,situacion,"El presidente señala que el contexto histórico actual impone un significado especial a las acciones y compromisos, lo que genera la emoción de responsabilidad como respuesta a esa situación",DISCURSO_048_FR_018,Presidente Javier Milei,responsabilidad
la casta política,actor,"El enunciador expresa indignación al afirmar que la casta política impuso una realidad miserable a los argentinos, por lo que la fuente de la emoción es la casta política.",DISCURSO_048_FR_019,Presidente Javier Milei,indignación
la casta política,actor,"El presidente Milei expresa frustración por la prolongada imposición de una realidad miserable a los argentinos por parte de la casta política, identificando a este grupo como la fuente de su frustración.",DISCURSO_048_FR_019,Presidente Javier Milei,frustración
la reversión de la realidad miserable impuesta por la casta política,situacion,"El sentimiento de esperanza se desencadena por el hecho concreto de que, con esfuerzo, se ha empezado a revertir la realidad miserable que la casta política impuso a los argentinos, lo cual constituye una situación de cambio positivo que genera la emoción.",DISCURSO_048_FR_019,Presidente Javier Milei,esperanza
la casta política,actor,"El sentimiento de determinación surge como respuesta a la imposición de una realidad miserable por parte de la casta política, lo que impulsa la acción colectiva para revertirla.",DISCURSO_048_FR_019,Presidente Javier Milei,determinación
la casta,actor,"El enunciador condena a la casta como ""legados nefastos"" y señala que han fracturado la relación con las fuerzas armadas, provocando indignación.",DISCURSO_048_FR_020,Presidente Javier Milei,indignación
la casta,actor,"El sentimiento de ira se origina en la acusación de que la casta ha fracturado la relación entre la política y las fuerzas armadas, por lo que la casta es la entidad que provoca la emoción.",DISCURSO_048_FR_020,Presidente Javier Milei,ira
los mismos que se llenaban la boca hablando de soberanía,actor,"La indignación surge al criticar a las personas que, a pesar de proclamarse defensores de la soberanía, se dedicaron a desprestigiar y diferenciar a las fuerzas militares, provocando la pérdida de años valiosos en su desarrollo.",DISCURSO_048_FR_021,Presidente Javier Milei,Indignación
los mismos que se llenaban la boca hablando de soberanía,actor,"El frustrado presidente Javier Milei atribuye la pérdida de años valiosos en el desarrollo militar a las acciones de los políticos que, a pesar de hablar de soberanía, se dedicaron a desprestigiar y diferenciar a las fuerzas armadas. Estas personas son la fuente directa de la frustración expresada.",DISCURSO_048_FR_021,Presidente Javier Milei,Frustración
los políticos que hablan de soberanía y desprestigian las fuerzas,actor,"El sentimiento de resentimiento surge por la conducta de los políticos que, a pesar de prometer soberanía, se dedicaron a desprestigiar y diferenciar a las fuerzas armadas, provocando la pérdida de años valiosos en su desarrollo.",DISCURSO_048_FR_021,Presidente Javier Milei,Resentimiento
el grupo político que habla de soberanía pero desprestigia y diferencia a las fuerzas militares,actor,"La decepción se origina en la acción de los políticos que, a pesar de proclamarse defensores de la soberanía, actúan desprestigiando y diferenciando a las fuerzas militares, lo que provocó la pérdida de años valiosos en el desarrollo de las capacidades militares.",DISCURSO_048_FR_021,Presidente Javier Milei,Decepción
el intento de destruir el afecto persistente de la sociedad por las fuerzas armadas argentinas,situacion,El alivio del presidente surge porque la situación de que un grupo intentó destruir el afecto persistente de la sociedad por las fuerzas armadas argentinas no tuvo éxito; la preservación de ese valor es la circunstancia externa que desencadena la emoción.,DISCURSO_048_FR_022,Presidente Javier Milei,Alivio
el respeto y reconocimiento que reciben sus fuerzas,situacion,"El orgullo del presidente surge de la situación concreta en la que sus fuerzas obtienen el respeto y reconocimiento que consideran merecidos, lo cual constituye un evento externo que desencadena la emoción.",DISCURSO_048_FR_023,Presidente Javier Milei,Orgullo
la nueva página que están escribiendo,objeto,"El sentimiento de esperanza surge al referirse a la creación de una nueva página de la historia, que simboliza un futuro mejor y la posibilidad de cambio positivo.",DISCURSO_048_FR_023,Presidente Javier Milei,Esperanza
dar vuelta a la página triste de la historia,situacion,"El alivio surge al dejar atrás la tristeza de la página histórica y comenzar una nueva, lo que constituye una situación que alivia el sentimiento de tristeza.",DISCURSO_048_FR_023,Presidente Javier Milei,Alivio
la situación de dar vuelta la triste página de la historia y comenzar a escribir una nueva,situacion,"El sentimiento de determinación surge de la circunstancia concreta de superar una página triste de la historia y emprender la escritura de una nueva, lo cual constituye una situación que impulsa la emoción.",DISCURSO_048_FR_023,Presidente Javier Milei,Determinación
la página de la historia,situacion,"El optimismo se desencadena por la situación de dar vuelta la triste página de la historia y comenzar a escribir una nueva, lo que representa un cambio positivo y esperanzador.",DISCURSO_048_FR_023,Presidente Javier Milei,Optimismo
el respeto y reconocimiento que reciben nuestras fuerzas,situacion,"El presidente siente satisfacción al afirmar que sus fuerzas están recibiendo el respeto y reconocimiento que merecen, lo cual constituye la situación que desencadena la emoción.",DISCURSO_048_FR_023,Presidente Javier Milei,Satisfacción
reconciliación de las fuerzas armadas con la política,situacion,"El sentimiento de orgullo se origina en la acción de reconciliar las fuerzas armadas con la política, un evento positivo que el presidente percibe como logro y avance.",DISCURSO_048_FR_024,Presidente Javier Milei,orgullo
el proceso de reconciliación de las fuerzas armadas con la política,situacion,"La satisfacción del presidente surge del hecho de que se está llevando a cabo la reconciliación entre las fuerzas armadas y la política, una situación que se percibe como positiva y satisfactoria.",DISCURSO_048_FR_024,Presidente Javier Milei,satisfacción
la reconciliación de las fuerzas armadas con la política,situacion,La esperanza surge de la expectativa positiva de que la reconciliación entre las fuerzas armadas y la política generará resultados favorables para el futuro.,DISCURSO_048_FR_024,Presidente Javier Milei,esperanza
reconciliación de las fuerzas armadas con la política,situacion,"El optimismo del presidente surge de la percepción de que la reconciliación entre las fuerzas armadas y la política es un evento positivo que mejora la estabilidad y la gobernabilidad, generando una visión optimista.",DISCURSO_048_FR_024,Presidente Javier Milei,optimismo
el gobierno,actor,"El presidente expresa confianza en la capacidad del gobierno para acompañar y jerarquizar las fuerzas, lo que genera la emoción de confianza.",DISCURSO_048_FR_025,Presidente Javier Milei,confianza
el gobierno,actor,"La frase destaca que el gobierno acompañará y hará todo lo posible para jerarquizar las tres fuerzas, lo que constituye una promesa concreta y activa que impulsa la actitud de determinación del hablante.",DISCURSO_048_FR_025,Presidente Javier Milei,determinación
el legado de Roca y San Martín,experiencia,"El orgullo se desencadena al hacer referencia al legado histórico de Roca y San Martín, una memoria colectiva y experiencia nacional que el orador celebra y honra.",DISCURSO_048_FR_025,Presidente Javier Milei,orgullo
el gobierno,actor,"El presidente Milei expresa esperanza al afirmar que los egresados contarán con un gobierno que los acompañará y hará todo lo posible, lo que constituye la fuente de la emoción.",DISCURSO_048_FR_025,Presidente Javier Milei,esperanza
el gobierno,actor,"El optimismo surge de la promesa de que el gobierno acompañará a los egresados y hará todo lo posible para jerarquizar las tres fuerzas, generando una expectativa positiva y de apoyo.",DISCURSO_048_FR_025,Presidente Javier Milei,optimismo
los desafíos que atraviesa nuestra patria,situacion,"El sentimiento de preocupación se origina en la situación de los desafíos que enfrenta la patria, una circunstancia externa que provoca la emoción.",DISCURSO_048_FR_026,Presidente Javier Milei,concern
los desafíos que atraviesa nuestra patria,situacion,"Los desafíos externos que enfrenta la nación son la circunstancia que impulsa la determinación del presidente, generando la necesidad de prepararse y actuar con coraje, decisión y responsabilidad.",DISCURSO_048_FR_026,Presidente Javier Milei,determination
la batalla de Caseros,situacion,"El presidente menciona la batalla de Caseros, un hito histórico argentino, lo que genera orgullo por la historia y la identidad nacional.",DISCURSO_048_FR_027,Presidente Javier Milei,orgullo
batalla de Caseros,situacion,"El sentimiento de respeto se origina al referirse a la batalla de Caseros, un evento histórico significativo, y a sus protagonistas, lo que constituye una situación que provoca la emoción.",DISCURSO_048_FR_027,Presidente Javier Milei,respet
llamado histórico,situacion,"El orgullo se origina en la situación del llamado histórico y la necesidad de prevalecer contra la tiranía rosista, lo que genera un sentimiento de orgullo por la misión y la capacidad de los oficiales.",DISCURSO_048_FR_028,Presidente Javier Milei,orgullo
tiranía rosista,situacion,"La determinación del orador se desencadena por la presencia de la ""tiranía rosista"", una situación adversa que exige superar y prevalecer, motivando así la firme intención expresada.",DISCURSO_048_FR_028,Presidente Javier Milei,determinación
tiranía rosista,actor,"El enunciador expresa indignación al referirse a la ""tiranía rosista"", señalando la acción de un grupo político (los Rosistas) como causa de la injusticia.",DISCURSO_048_FR_028,Presidente Javier Milei,indignación
la memoria de la persona fallecida,experiencia,El enunciador expresa esperanza de que la memoria de la persona fallecida motive a los graduados; la memoria es un recuerdo previo que actúa como fuente de la emoción.,DISCURSO_048_FR_029,Presidente Javier Milei,esperanza
la nación,actor,"El presidente expresa confianza al afirmar que la nación cuenta con los oficiales egresados, lo que indica que la confianza se origina en la expectativa y el respaldo de la nación hacia ellos.",DISCURSO_048_FR_030,Presidente Javier Milei,confianza
la nación,actor,"El presidente expresa confianza al afirmar que los oyentes pueden contar con la nación, lo que indica que la nación, como grupo colectivo, es la entidad que provoca la emoción de confianza.",DISCURSO_048_FR_031,Presidente Javier Milei,confianza
hombres y mujeres de nuestras fuerzas armadas,actor,"El discurso expresa gratitud hacia las fuerzas armadas por su contribución a la formación de nuevos oficiales, lo que indica que la fuente de la emoción es el grupo de personas que realizaron esa acción.",DISCURSO_048_FR_032,Presidente Javier Milei,gratitud
hombres y mujeres de nuestras fuerzas armadas,actor,"La frase reconoce la labor de los hombres y mujeres de las fuerzas armadas, lo que provoca respeto hacia ellos.",DISCURSO_048_FR_032,Presidente Javier Milei,respeto
los hombres y mujeres de nuestras fuerzas armadas que contribuyeron a la formación de nuestros nuevos oficiales,actor,"El orgullo se desencadena al reconocer la contribución de las fuerzas armadas en la formación de nuevos oficiales, lo que representa un logro y un reconocimiento de su labor.",DISCURSO_048_FR_032,Presidente Javier Milei,orgullo
hombres y mujeres de nuestras fuerzas armadas,actor,La admiración se dirige a los miembros de las fuerzas armadas por su contribución a la formación de nuevos oficiales.,DISCURSO_048_FR_032,Presidente Javier Milei,admiración
los graduados,actor,"La esperanza de Javier Milei se origina en la expectativa de que los graduados, como actores externos, lo hagan sentir orgulloso en el futuro.",DISCURSO_048_FR_034,Presidente Javier Milei,esperanza
familiares de nuestros oficiales,actor,"El presidente expresa su gratitud hacia los familiares de los oficiales por su acompañamiento y apoyo permanente, lo que indica que la fuente de la emoción es el grupo de personas (los familiares) que brindan dicho apoyo.",DISCURSO_048_FR_035,Presidente Javier Milei,gratitud
la Navidad,situacion,"El sentimiento de felicidad del presidente se desencadena por la situación de la temporada navideña, un contexto que suele generar alegría y buenos deseos.",DISCURSO_048_FR_036,Presidente Javier Milei,felicidad
el próximo año,situacion,"La emoción de optimismo se desencadena por la perspectiva de planificar en grande para el próximo año, lo que representa una situación futura con oportunidades y expectativas positivas.",DISCURSO_048_FR_036,Presidente Javier Milei,optimismo
Dios,actor,"El sentimiento de esperanza se origina en la expectativa de que Dios bendiga a los presentes y a los argentinos, por lo que la fuente de la emoción es la entidad divina que se menciona como agente de la bendición.",DISCURSO_048_FR_037,Presidente Javier Milei,esperanza
fuerzas del cielo,actor,"La confianza se origina en la petición de que las fuerzas del cielo nos acompañen, lo que implica una fe en la intervención divina, considerada como un actor que provoca la emoción.",DISCURSO_048_FR_037,Presidente Javier Milei,confianza
el público,actor,"El presidente Milei expresa ""muchas gracias"" como una manifestación explícita de gratitud dirigida al público presente, por lo que el público es la entidad concreta que desencadena la emoción.",DISCURSO_048_FR_038,Presidente Javier Milei,gratitud
la elección presidencial,situacion,"El discurso celebra el resultado de la elección, generando alegría y celebración.",DISCURSO_048_FR_038,Presidente Javier Milei,felicidad
la patria,espacio,"La exclamación ""¡viva la patria!"" expresa un sentimiento de orgullo y entusiasmo patriótico, indicando que la fuente de la emoción es la propia patria (el país) que el hablante celebra.",DISCURSO_048_FR_038,Presidente Javier Milei,orgullo
presidente de la nación Javier Milei,actor,"La presencia y discurso del presidente en la ceremonia de egreso de oficiales genera orgullo entre los partidarios, ya que el presidente es una figura central y simbólica del partido.",DISCURSO_048_FR_001,Partido político de Javier Milei y su base electoral,orgullo
presidente de la nación,actor,"El saludo ""buenas tardes a todos"" es pronunciado por el presidente de la nación, quien actúa como fuente de la emoción de bienvenida en la audiencia.",DISCURSO_048_FR_001,Público general argentino,bienvenida
saludo neutro del presidente de la nación,situacion,"El saludo neutro del presidente, sin contenido emotivo, constituye una situación que no provoca entusiasmo ni rechazo, generando indiferencia en la oposición.",DISCURSO_048_FR_001,Oposición política (la casta política),indiferencia
secuestro ilegal de Nahuel Gallo en Venezuela,situacion,El secuestro ilegal de Nahuel Gallo en Venezuela es un evento externo que provoca indignación en el partido y su base.,DISCURSO_048_FR_002,prodestinatario,indignación
secuestro ilegal de Nahuel Gallo en Venezuela,situacion,La referencia al secuestro ilegal de Nahuel Gallo genera solidaridad al describir un evento trágico que afecta a una persona específica.,DISCURSO_048_FR_002,prodestinatario,solidaridad
secuestro ilegal de Nahuel Gallo en Venezuela,situacion,El hecho de que Nahuel Gallo haya sido secuestrado ilegalmente en Venezuela constituye un evento externo que provoca indignación en el público.,DISCURSO_048_FR_002,paradestinatario,indignación
secuestro ilegal de Nahuel Gallo en Venezuela,situacion,La mención del secuestro ilegal de Nahuel Gallo en Venezuela genera preocupación por la seguridad de ciudadanos argentinos en el extranjero.,DISCURSO_048_FR_002,paradestinatario,preocupación
secuestro ilegal de Nahuel Gallo en Venezuela,situacion,"El secuestro ilegal constituye un acto ilícito y violento que provoca indignación en la oposición, siendo la situación concreta que desencadena la emoción.",DISCURSO_048_FR_002,contradestinatario,indignación
secuestro ilegal de Nahuel Gallo en Venezuela,situacion,"La referencia al secuestro ilegal de Nahuel Gallo en Venezuela constituye una situación negativa que puede provocar una respuesta defensiva por parte del contradestinatario, ya que se percibe como una acusación o crítica que amenaza su posición.",DISCURSO_048_FR_002,contradestinatario,defensa
detención por visitar a su pareja y su hijo,situacion,La indignación surge por la injusticia de ser detenido por las fuerzas de seguridad de Maduro por un delito tan leve.,DISCURSO_048_FR_003,prodestinatario,indignación
detención por las fuerzas de seguridad a cargo del dictador criminal Nicolás Maduro,situacion,"La emoción de ira se desencadena por la situación de haber sido detenido de manera injusta por las fuerzas de seguridad bajo el mando del dictador Nicolás Maduro, lo cual constituye un acto represivo que provoca indignación en el experienciador.",DISCURSO_048_FR_003,prodestinatario,ira
dictador criminal Nicolás Maduro,actor,"El orgullo surge al percibir la acción injusta del dictador Nicolás Maduro, cuya detención de la persona por un delito trivial se interpreta como una muestra de opresión, lo que refuerza la posición de Milei como defensor de la libertad.",DISCURSO_048_FR_003,prodestinatario,orgullo
detención por las fuerzas de seguridad a cargo del dictador criminal Nicolás Maduro por visitar a su pareja y su hijo,situacion,El hecho concreto de que la persona haya sido detenida por las fuerzas de seguridad bajo la autoridad de Nicolás Maduro por un acto tan sencillo como visitar a su pareja y su hijo constituye la circunstancia externa que provoca la indignación del público.,DISCURSO_048_FR_003,paradestinatario,indignación
fuerzas de seguridad a cargo del dictador criminal Nicolás Maduro,actor,"La acción de las fuerzas de seguridad, bajo la autoridad de Nicolás Maduro, al detener a una persona por visitar a su pareja y su hijo, constituye un acto injusto que provoca ira en la audiencia neutra.",DISCURSO_048_FR_003,paradestinatario,ira
la detención por visitar a su pareja y su hijo,situacion,El hecho de que la persona haya sido detenida por una acción tan leve (visitar a su pareja y su hijo) genera empatía hacia la víctima.,DISCURSO_048_FR_003,paradestinatario,empatía
detención por las fuerzas de seguridad a cargo del dictador criminal Nicolás Maduro,situacion,"La indignación surge del hecho de que la oposición percibe la detención de una persona por parte de las fuerzas de seguridad bajo el mando de Maduro como una acción injusta y política, generando indignación.",DISCURSO_048_FR_003,contradestinatario,indignación
acusación de apoyar al régimen opresivo,situacion,"La frustración surge porque la oposición percibe que el discurso los acusa indirectamente de respaldar al régimen de Nicolás Maduro, generando una sensación de injusta culpabilidad.",DISCURSO_048_FR_003,contradestinatario,frustración
el secuestro de Nahuel Gallo,situacion,"La indignación se desencadena por el evento del secuestro de Nahuel Gallo, una situación externa que provoca la reacción emocional.",DISCURSO_048_FR_004,Partido político de Javier Milei y su base electoral (prodestinatario),indignación
la detención de la persona en cuestión,situacion,La determinación expresada por el partido surge como respuesta a la situación concreta de que una persona está detenida; la exigencia de liberación y el compromiso de usar todas las vías diplomáticas se originan en ese contexto de detención.,DISCURSO_048_FR_004,Partido político de Javier Milei y su base electoral (prodestinatario),determinación
promesa de devolver al secuestrado sano y salvo,situacion,"La promesa de que el secuestrado será devuelto sano y salvo constituye una situación concreta que genera una expectativa positiva de resolución, lo que desencadena la emoción de esperanza en el público argentino.",DISCURSO_048_FR_004,Público general argentino (paradestinatario),esperanza
detención del individuo,situacion,"La frustración del opositor se origina en la situación de que el individuo está detenido, lo cual perciben como una injusticia que impide su liberación inmediata.",DISCURSO_048_FR_004,Oposición política (la casta política) (contradestinatario),frustración
"los nuevos egresados de las fuerzas armadas (subtenientes, guardiamarinas y alféreces)",actor,"El sentimiento de orgullo se desencadena por el reconocimiento y la atención especial que el orador dirige a los nuevos egresados, quienes son personas que han alcanzado un logro significativo dentro de las fuerzas armadas.",DISCURSO_048_FR_005,Partido político de Javier Milei y su base electoral,pride
"Luis Petri, Ministro de Defensa",actor,"El discurso muestra un tono respetuoso dirigido al Ministro de Defensa y a los jefes del Estado Mayor, indicando que la presencia y posición de Luis Petri son la fuente que provoca la emoción de respeto en la base partidaria.",DISCURSO_048_FR_005,Partido político de Javier Milei y su base electoral,respect
